#OTUID	KOSMOS.D1.MPBS	KOSMOS.D15.MPAS	KOSMOS.D24.MPAS	KOSMOS.D32.MPAS	KOSMOS.D36.MPAS	KOSMOS.D42.MPAS	KOSMOS.D48.MPAS	KOSMOS.D8.MPAS
D_3__SAR11_clade_D_4__Clade_I$d47fbc8bf4a19f82431bc9f1d1886734	12595	15859	13785	12624	6852	6311	11220	20247
D_3__Rhodobacterales_D_4__Rhodobacteraceae$edbdf2f0994a078171a44765047f8302	9033	12254	15382	4801	14789	19026	13455	11697
D_3__Saccharimonadales_D_4__uncultured_bacterium$29ed83fb2adbe78d42322e5c5e6fdf52	0	0	16	28000	10937	39903	21099	0
D_3__Thiomicrospirales_D_4__Thioglobaceae$ccb2f3e0b732851713eb44527cc8550d	710	2366	727	3785	2403	3525	7356	7500
D_3__Rhodobacterales_D_4__Rhodobacteraceae$042b7404bc696020138b8631c25ba1bd	1974	2336	2212	732	1050	1498	739	2115
D_3__Betaproteobacteriales_D_4__Burkholderiaceae$12cf958aac38df753bd74152c9de7b19	0	0	0	0	0	0	0	483
D_3__Rhodobacterales_D_4__Rhodobacteraceae$bd60cd0979eb7e764bf07740b4b3dec6	979	4099	3183	9594	5519	7644	6088	1313
D_3__Flavobacteriales_D_4__Cryomorphaceae$3627f9c0ad5d9121ddcac3b6e59c19a7	1783	2843	3747	3168	5303	5676	3457	1987
D_3__Flavobacteriales_D_4__Flavobacteriaceae$fe704b4923bc1a844464f5d5256e4974	1708	4012	3556	4130	3939	6979	4433	2722
D_3__Rhodobacterales_D_4__Rhodobacteraceae$7853bf02be29f05da1c041609250bb75	990	419	225	287	198	693	591	483
D_3__Bacteroidetes_VC2.1_Bac22$1d2532d203d263d464395190d1c88137	724	1058	285	2951	1266	1510	3324	4898
D_3__Rhodobacterales_D_4__Rhodobacteraceae$789b7154821a227e5aa1c6f861d1e93a	2527	4149	4028	3018	3182	6085	3584	3295
D_3__Rhodobacterales_D_4__Rhodobacteraceae$8eda335e06b3452490fc1a45f9a23a80	1502	2611	1902	1031	2131	3405	1716	2780
D_3__Flavobacteriales_D_4__Flavobacteriaceae$bf46d2eaf500602bdac8966def60bd6d	631	2859	1743	1999	1285	3223	2509	1250
