#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
D_3__SAR11_clade_D_4__Clade_I$d47fbc8bf4a19f82431bc9f1d1886734	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_I	Clade_Ia	
D_3__Rhodobacterales_D_4__Rhodobacteraceae$edbdf2f0994a078171a44765047f8302	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	HIMB11	
D_3__Saccharimonadales_D_4__uncultured_bacterium$29ed83fb2adbe78d42322e5c5e6fdf52	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales			
D_3__Thiomicrospirales_D_4__Thioglobaceae$ccb2f3e0b732851713eb44527cc8550d	Bacteria	Proteobacteria	Gammaproteobacteria	Thiomicrospirales	Thioglobaceae	SUP05_cluster	
D_3__Rhodobacterales_D_4__Rhodobacteraceae$042b7404bc696020138b8631c25ba1bd	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Planktomarina	
D_3__Betaproteobacteriales_D_4__Burkholderiaceae$12cf958aac38df753bd74152c9de7b19	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Ralstonia	
D_3__Rhodobacterales_D_4__Rhodobacteraceae$bd60cd0979eb7e764bf07740b4b3dec6	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
D_3__Flavobacteriales_D_4__Cryomorphaceae$3627f9c0ad5d9121ddcac3b6e59c19a7	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Cryomorphaceae		
D_3__Flavobacteriales_D_4__Flavobacteriaceae$fe704b4923bc1a844464f5d5256e4974	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Formosa	
D_3__Rhodobacterales_D_4__Rhodobacteraceae$7853bf02be29f05da1c041609250bb75	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
D_3__Bacteroidetes_VC2.1_Bac22$1d2532d203d263d464395190d1c88137	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidetes_VC2.1_Bac22			
D_3__Rhodobacterales_D_4__Rhodobacteraceae$789b7154821a227e5aa1c6f861d1e93a	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
D_3__Rhodobacterales_D_4__Rhodobacteraceae$8eda335e06b3452490fc1a45f9a23a80	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	HIMB11	
D_3__Flavobacteriales_D_4__Flavobacteriaceae$bf46d2eaf500602bdac8966def60bd6d	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae		
