#OTUID	KOSMOS.D1.MPBS	KOSMOS.D15.MPAS	KOSMOS.D24.MPAS	KOSMOS.D32.MPAS	KOSMOS.D36.MPAS	KOSMOS.D42.MPAS	KOSMOS.D48.MPAS	KOSMOS.D8.MPAS
42219cdab667ede06141ed99b77e6e3c	4324	4873	3193	889	173	4102	12829	7969
d9229fe38c2083c24186be92bbef13ae	1133	401	589	3184	623	842	471	393
6db05a10707818fbe75a590499339995	2107	46	5270	0	0	18	6	3265
de07b97b3c8bed8fd34d50acf341fa65	145	82	337	69	183	2375	2231	157
393253aa18abfdac36ef0d53c7222c1b	514	274	1386	944	174	704	584	244
e0d3f83ed24e56018290f2b7943acc9b	2168	0	160	146	71	129	417	3601
ac4b602d4fd4d598c0c79053880a6fe7	298	1696	2358	51	26	325	4697	767
094d282e5759e5d296f2b9c4fe77500d	362	1402	5647	567	43	91	170	401
84db7bef4e63768342c4e6d91424b528	182	38	185	617	19	59	107	25
a713278facfda956576d93f0ebab0918	158	193	243	1122	296	595	809	197
2323d65b8fb56eefaf44bb37a8fdd372	17	29	434	4489	326	49	13	0
ba023c775d2cf34fc8c622062b6178be	84	20	21	1748	1519	286	19	29
4a3da0cc978406fc647a28f932c13567	33	164	259	94	94	634	2004	16
cfbb54fabdb1c962e69e5e2d8b7ec2c6	977	197	215	204	115	444	170	361
96a177c7d9fe69540ef28119f340ec99	0	0	0	272	246	1934	954	0
76af76d18ff044c3f5aea9e78a85baf7	73	43	29	413	16	64	35	48
9d614c067c441d8a9480a1d7f040072e	0	142	126	2209	126	223	217	13
039b330945c86d35a292bb1a0d029d40	0	7	0	546	57	1043	1359	0
2c1145826361b8caaa26aae5369a3bdf	1026	96	67	136	187	243	273	0
0ec73868c65ec2e1a3618c17e138195c	318	205	238	65	36	243	275	466
1f2b21bc052cb0656da1f3e673c1ebb2	0	25	0	176	208	632	1169	0
96595fee71ccd0455b2967949c8016e3	0	25	198	1810	124	16	0	15
a735069357ce3bff25f964e614dc9f50	73	621	80	187	73	520	243	223
98a5b6da12dff21114b8c3302d58c9ee	11	16	12	136	14	59	1854	15
b4903dd51eb41689ecf2d44c6df239b2	63	162	33	369	112	687	307	96
5ab08f77a1e90f4869d69d602521363e	0	0	0	0	0	209	1750	0
3fbc1c2532fb76354cf750ba43944c89	32	62	188	336	65	284	866	80
36a4c622d3787881baa568a1ba6046b9	0	0	681	0	0	0	0	432
e7616da48825d69487217c02d56ed064	0	0	0	1473	0	53	0	26
248d685efcdb0f4adbebed6463e2fd8d	43	29	52	80	296	273	599	22
8b30cf3f5e8c27b4aacc4736f6cd6ed9	0	0	0	0	0	172	1262	0
83c194429e19fe7c040d099dadade7e0	0	0	0	0	0	0	48	0
c5548ed311eb7b4a4b06e500dafc48ff	10	23	67	333	124	182	162	195
9230a5d018cf30449d6606d1b25d9b2c	100	146	740	0	0	7	24	100
f7b901f2d99386e3f057c26c64ddbaf2	56	31	0	159	76	116	333	64
aa362e133f4a3742c7c0b51823dcefff	53	0	17	67	96	196	400	26
c8beb29f8c766765fc1a8ce124f642af	25	0	485	157	24	194	54	0
a1cc6dd666afc98d00326d35f43bae73	0	252	47	38	13	187	209	63
d16938cc809b9186b4b6d32892c4eddd	62	158	182	72	28	43	32	89
a1a363ebfa5e222880fbbc2877328c93	17	46	83	170	15	70	392	22
2fc32256e74d5cc16fd440d96a3733d9	0	0	0	12	61	230	492	0
5207151388e3c1cb2fe7d75d59f26e79	491	0	41	40	0	0	0	13
9b913f388f72540499d96686bf75218f	7	143	499	37	19	17	0	31
4912ee68947e8529e2eac96d81f4e26a	204	27	40	187	0	4	0	8
35c96737e44f9a025c844504c09521e6	36	0	64	322	0	40	31	0
315d2dab44d975c2d7adef16cd6226f8	0	0	0	94	0	0	0	0
bda174380b89c8dafb8a61126ad57210	0	10	0	10	7	185	387	10
8b1ca5c7eda7f9278a28edd834c461be	110	0	3	42	11	214	72	10
35c7ac712d7bfb9eded614644fdd5eab	9	11	371	0	0	0	0	16
7ef9ef0f1d7fc89f3fa1d17d92b4e6d8	0	0	0	0	0	43	505	0
4b45e0fc6276ae0245aea2cf6c2de70e	33	0	44	41	0	8	0	0
20d8843bf7213e7bf6592cdb191a9e96	25	0	51	165	0	24	0	0
e6794d71335fe9c08483e2d87506ab80	15	0	10	24	18	40	321	11
9ca3ba7165b71dfa75647c347b1aa034	0	0	0	20	17	111	257	0
92c99a76c83d47c4ed1259c807985355	0	0	0	0	0	0	398	0
ab985cf0ad0420c1a343fbc97ce8f698	44	0	27	31	0	24	0	0
b3e163b6fe9838157f405611dc3e693f	53	0	19	32	0	13	0	0
20d526a736412cffe5fdea0f89b3fbcb	0	11	30	0	0	5	0	13
1f97c47d5e820df62d738ab6e2bc2790	0	10	12	128	28	52	93	14
42624d4c60b33699c28a95ca27129319	181	11	17	2	19	34	0	33
5ea3446ef0c2b0746d9845a861d8487d	0	0	0	0	0	51	277	6
b312a1d9d769c6da59c68893ee7c4582	0	0	0	33	0	0	0	0
a907c242383e2c256496dd4a09417c6e	29	0	6	23	0	0	0	0
