#OTUID	Kingdom	Supergroup	Phylum	Class	Subclass	Order	Suborder	Family	Genus	Species
42219cdab667ede06141ed99b77e6e3c	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	NA			
d9229fe38c2083c24186be92bbef13ae	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	NA	Skeletonemataceae		
6db05a10707818fbe75a590499339995	Eukaryota	Stramenopiles	Ochrophyta				NA			
de07b97b3c8bed8fd34d50acf341fa65	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae		NA			
393253aa18abfdac36ef0d53c7222c1b	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae		NA			
e0d3f83ed24e56018290f2b7943acc9b	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	NA			
ac4b602d4fd4d598c0c79053880a6fe7	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	NA	Skeletonemataceae		
094d282e5759e5d296f2b9c4fe77500d	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	NA			
84db7bef4e63768342c4e6d91424b528	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae		Pyrenomonadales	NA			
a713278facfda956576d93f0ebab0918	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae		Chlorellales	NA	Chlorellaceae		
2323d65b8fb56eefaf44bb37a8fdd372	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Melosirales	NA	Melosiraceae		
ba023c775d2cf34fc8c622062b6178be	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae		Pyrenomonadales	NA			
4a3da0cc978406fc647a28f932c13567	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae		NA			
cfbb54fabdb1c962e69e5e2d8b7ec2c6	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyceae		NA			
96a177c7d9fe69540ef28119f340ec99	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	NA			
76af76d18ff044c3f5aea9e78a85baf7	Eukaryota	Stramenopiles	Ochrophyta	Dictyochophyceae			NA			
9d614c067c441d8a9480a1d7f040072e	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyceae		NA			
039b330945c86d35a292bb1a0d029d40	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae		NA			
2c1145826361b8caaa26aae5369a3bdf	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyceae		NA			
0ec73868c65ec2e1a3618c17e138195c	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyceae		NA			
1f2b21bc052cb0656da1f3e673c1ebb2	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae		NA			
96595fee71ccd0455b2967949c8016e3	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta			NA			
a735069357ce3bff25f964e614dc9f50	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyceae		NA			
98a5b6da12dff21114b8c3302d58c9ee	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae		NA			
