Sample,station,Day,Syn,Euks,Crypto
27 Feb 17 KOSMOS 17 Pacific D2 surf FCMA,,,123509.2482,8494.713192,0
Kosmos 5 May 17 Pacific D8 surf FCMA,,,110804.5279,4921.210865,0
KF071S D15 MPB,,,48244.1097,11388.67794,0
KF078S D22 MPA,Pacific,22,2416.677467,2905.047705,0
KF081S D26 MPA,Pacific,26,9629.658813,6575.624458,382.9977937
KF088S D32 MPA,Pacific,32,8918.952421,5148.05339,185.2898594
"KF092S
D36 MPA",Pacific,36,38675.82726,9966.638573,471.2238878
"KF098S
D42 MPA",Pacific,42,11459.29119,7979.100321,155.1348086
"KF104S
D48 MPA",Pacific,48,13011.79926,16310.78138,209.7027397
"27 Feb 17 KOSMOS M1 D2
surf FCMA",,,344091.6736,14239.12822,0
"KOSMOS 5 Mar17 M1 D8
surf FCMA",,,8841.836735,3525.510204,0
"KF071S
D15 M1B",,,6144.132026,5023.79112,856.7312808
"KF0789 D22 M1, A",Mesocosm,22,2605.283744,5405.588727,760.0827813
KF081S D26 M1 A,Mesocosm,26,3389.569161,9120.282187,340.9926934
KF088S D32 M1 A,Mesocosm,32,1317.631116,3947.78625,76.60646023
KF092S D36 M1 A,Mesocosm,36,2382.57129,6411.919795,70.07562617
KF098S D42 M1 A,Mesocosm,42,1482.745074,9429.005645,804.0237372
KF104S D48 M1 A,Mesocosm,48,3140.025241,6140.148367,274.6226696
"KOSMOS 5 Mar 17 DW1 St. 3 70m m.
OM2 FCMA",,,24565.90875,1012.710792,0
KOSMOS 5 Mar 17 DW2 St. 1 70m strong OM2 FCMA,,,7904.795918,314.3367347,0
KF070 D15 DW2 B,,,3468.988378,1583.230161,0
KOSMOS 1 Mar 17 Pacific D4 surf FCM A,,,53323.43721,4345.765773,0
KOSMOS 3 Mar 17 Pacific D6 surf FCM A,,,45775.06106,3487.353676,0
KOSMOS 7 Mar 17 Pacific D10 surf FCM A,,,80045.0963,3922.125372,0
KOSMOS 9 Mar 17 Pacific D12 surf FCM A,,,67140.8968,3959.885269,0
KF072S D16 MPA,Pacific,16,34095.09028,7332.50147,0
KF073S D17 MPA,Pacific,17,37111.35358,6503.411606,0
KF086S D30 MPA,Pacific,30,4610.356413,5321.668545,569.0497058
KF090S D34 MPA,Pacific,34,24869.00926,10207.9689,340.9544269
KF094S D38 MPA,Pacific,38,12144.65183,3205.773767,155.3686801
KF096S D40 MPA,Pacific,40,3354.376092,2551.438823,47.54233831
KF100S D44 MPA,Pacific,44,6644.600554,13190.80094,77.68434007
KF102S D46 MPA,Pacific,46,5829.935396,5233.456241,88.17517948
KF106S D50 MPA,Pacific,50,9101.646756,9373.963,235.6582877
KOSMOS 1 Mar 17 M1 D4 surf FCM A,,,112517.463,6425.32721,0
KOSMOS 3 Mar 17 M1 D6 surf FCM A,,,51077.82204,6493.423131,144.0696099
KOSMOS 7 Mar 17 M1 D10 surf FCM A,,,3152.460984,1539.328775,57.98841276
KOSMOS 9 Mar 17 M1 D12 surf FCM A,,,7304.239401,1948.139854,0
KF070S D14 M1 A,Mesocosm,14,6797.328275,3467.815556,558.3336714
KF072S D16 M1 A,Mesocosm,16,5032.506781,6730.528946,1636.46245
KF073S D17 M1 A,Mesocosm,17,3282.767928,6066.097312,2034.171569
KF086S D30 M1 A,Mesocosm,30,3038.251141,8807.806818,104.0496966
KF090S D34 M1 A,Mesocosm,34,1489.979684,2438.617268,128.8909761
KF096S D38 M1 A,Mesocosm,38,825.315111,3507.589222,211.4869972
KF096S D40 M1 A,Mesocosm,40,500.848636,3991.298924,185.881968
KF100S D44 M1 A,Mesocosm,44,3199.356078,21183.93312,561.1985252
KF102S D46 M1 A,Mesocosm,46,2820.238869,27060.73932,234.5854882
KF106S D50 M1 A,Mesocosm,50,5150.501333,1320.90392,163.8330444
