#OTUID	KOSMOS.D1.M1BS	KOSMOS.D1.MPBS	KOSMOS.D15.M1AS	KOSMOS.D15.MPAS	KOSMOS.D24.M1A	KOSMOS.D24.MPAS	KOSMOS.D32.M1AS	KOSMOS.D32.MPAS	KOSMOS.D36.M1AS	KOSMOS.D36.MPAS	KOSMOS.D42.M1AS	KOSMOS.D42.MPAS	KOSMOS.D48.M1AS	KOSMOS.D48.MPAS	KOSMOS.D8.M1AS	KOSMOS.D8.MPAS
D_3__SAR11_clade_D_4__Clade_I$d47fbc8bf4a19f82431bc9f1d1886734	27538	16622	9739	21075	21679	17920	9478	17948	5244	8691	1237	8780	2246	15055	3505	27535
D_3__Rhodobacterales_D_4__Rhodobacteraceae$edbdf2f0994a078171a44765047f8302	13951	11344	31333	16316	9638	18852	2956	6209	853	18065	2985	24217	16503	16056	26191	15357
D_3__Saccharimonadales_D_4__uncultured_bacterium$29ed83fb2adbe78d42322e5c5e6fdf52	3	0	4	0	3958	18	21092	31937	33070	12471	6618	45564	12588	23991	0	0
D_3__Thiomicrospirales_D_4__Thioglobaceae$ccb2f3e0b732851713eb44527cc8550d	2197	2057	3864	6728	4311	3289	2644	9915	2310	4566	605	10628	132	17697	437	13598
D_3__Rhodobacterales_D_4__Rhodobacteraceae$042b7404bc696020138b8631c25ba1bd	2684	2441	10204	3206	4923	3027	3570	1579	16240	1831	32414	2611	12160	1275	8683	2732
D_3__Betaproteobacteriales_D_4__Burkholderiaceae$12cf958aac38df753bd74152c9de7b19	0	0	0	0	0	0	21	0	11	2	14	0	0	0	85	600
D_3__Rhodobacterales_D_4__Rhodobacteraceae$bd60cd0979eb7e764bf07740b4b3dec6	11398	9917	34599	15763	30851	23015	32808	22299	23575	14105	27190	23418	58188	16399	16026	11174
D_3__Flavobacteriales_D_4__Cryomorphaceae$3627f9c0ad5d9121ddcac3b6e59c19a7	7782	6729	5458	6126	4321	10835	4800	6526	9581	8936	11038	14508	5296	11815	28915	8104
D_3__Flavobacteriales_D_4__Flavobacteriaceae$fe704b4923bc1a844464f5d5256e4974	5254	3271	9070	5404	2320	5050	1390	4901	26009	4845	8318	8990	402	7012	6038	3949
D_3__Bacteroidetes_VC2.1_Bac22$1d2532d203d263d464395190d1c88137	501	817	1483	1132	280	339	1375	3065	985	1293	238	1551	666	3361	109	5105
D_3__Flavobacteriales_D_4__Flavobacteriaceae$bf46d2eaf500602bdac8966def60bd6d	3505	2570	6665	8910	21832	4892	11804	6143	11810	4165	20817	10399	10523	9068	8209	5311
D_3__Synechococcales_D_4__Cyanobiaceae$80522704d59cd214493d481cf1236310	23446	16508	1410	5798	760	2445	485	2013	112	3069	121	1825	609	2120	983	10254
D_3__Rhodobacterales_D_4__Rhodobacteraceae$3541684279c20a868bfbc828478563c5	579	725	1247	1356	644	497	4826	497	2372	329	2262	512	1142	1044	518	2381
D_3__Oceanospirillales_D_4__Nitrincolaceae$885e5f9ae373e946160d92466ca24188	250	164	1264	563	255	374	732	1110	697	366	425	728	110	2689	233	2171
D_3__Oceanospirillales_D_4__Pseudohongiellaceae$c3ad2324abd9f9a4c0403b02881395e7	317	173	18047	465	2845	333	1724	454	8451	449	23430	215	4293	321	215	268
D_3__Flavobacteriales_D_4__Flavobacteriaceae$bb18a3e168fb2b3a4ec7809da2b1182b	0	0	25	10	0	383	66	17	8	7	12	8	0	0	76	0
D_3__Rhodobacterales_D_4__Rhodobacteraceae$fe83957ee5a791f3e51c5c1eb645b321	195	229	366	323	444	591	4355	296	987	72	9881	445	1667	180	1247	74
D_3__Actinomarinales_D_4__Actinomarinaceae$f2a439ca0445443ee2ce5234c4bac662	5697	4246	1340	7089	2074	1931	714	1611	159	1549	50	1135	129	1117	183	5333
D_3__Flavobacteriales_D_4__Flavobacteriaceae$e0a30eb37551974410bef88d4a1719fd	3436	2934	1743	3044	1175	2549	1404	1454	1844	2442	3521	2270	5616	1844	8264	2131
D_3__SAR86_clade_D_4__uncultured_marine_bacterium$8a2c5d64bae17284ddd2c3ef8017ab10	4219	2309	479	5072	192	2915	19	3734	50	2006	21	3100	4	5660	467	3938
D_3__Flavobacteriales_D_4__Flavobacteriaceae$fe5f4c41ca2a48060b0868c63f4da1f9	4438	2962	2501	4197	4754	4229	1463	4743	4760	4181	1729	5369	774	3485	10949	3290
ec69e4a2fa57ecb7e50cf2e897b37a8e$Unassigned	5484	5350	13868	3795	8805	6557	8631	5028	7813	2221	4507	5154	26398	3758	3014	5852
