#OTUID	KOSMOS.D1.M1BS	KOSMOS.D1.MPBS	KOSMOS.D15.DW2	KOSMOS.D15.M1AS	KOSMOS.D15.MPAS	KOSMOS.D24.M1A	KOSMOS.D24.MPAS	KOSMOS.D3.control1	KOSMOS.D3.control2	KOSMOS.D32.M1AS	KOSMOS.D32.MPAS	KOSMOS.D36.M1AS	KOSMOS.D36.MPAS	KOSMOS.D42.M1AS	KOSMOS.D42.MPAS	KOSMOS.D48.M1AS	KOSMOS.D48.MPAS	KOSMOS.D8.DW1	KOSMOS.D8.DW2	KOSMOS.D8.M1AS	KOSMOS.D8.MPAS
42219cdab667ede06141ed99b77e6e3c	3996	4324	1089	401	4873	0	3193	3627	453	0	889	0	173	282	4102	628	12829	946	401	3889	7969
d9229fe38c2083c24186be92bbef13ae	468	1133	0	599	401	1904	589	117	0	3825	3184	1508	623	4333	842	4785	471	51	0	0	393
6db05a10707818fbe75a590499339995	2628	2107	0	0	46	0	5270	1798	25	0	0	0	0	0	18	0	6	263	99	0	3265
de07b97b3c8bed8fd34d50acf341fa65	89	145	0	0	82	0	337	0	0	0	69	0	183	10	2375	0	2231	6	0	9431	157
393253aa18abfdac36ef0d53c7222c1b	527	514	0	45	274	0	1386	588	7	0	944	0	174	7	704	0	584	20	0	7350	244
e0d3f83ed24e56018290f2b7943acc9b	1912	2168	0	0	0	0	160	2985	44	0	146	0	71	0	129	0	417	393	321	0	3601
ac4b602d4fd4d598c0c79053880a6fe7	255	298	25	0	1696	0	2358	0	0	0	51	0	26	0	325	0	4697	161	82	556	767
094d282e5759e5d296f2b9c4fe77500d	115	362	435	5	1402	0	5647	0	0	23	567	10	43	8	91	0	170	50	6	97	401
84db7bef4e63768342c4e6d91424b528	81	182	0	1432	38	1636	185	0	19	561	617	245	19	1129	59	238	107	12	0	30	25
a713278facfda956576d93f0ebab0918	101	158	489	198	193	52	243	822	66	75	1122	10	296	4	595	0	809	276	33	32	197
2323d65b8fb56eefaf44bb37a8fdd372	0	17	6	8	29	0	434	0	0	8	4489	9	326	0	49	0	13	4	0	39	0
ba023c775d2cf34fc8c622062b6178be	131	84	5	94	20	59	21	0	0	50	1748	18	1519	16	286	46	19	0	0	71	29
4a3da0cc978406fc647a28f932c13567	29	33	6	0	164	0	259	0	22	0	94	7	94	0	634	0	2004	0	0	584	16
cfbb54fabdb1c962e69e5e2d8b7ec2c6	436	977	0	91	197	119	215	0	0	144	204	28	115	0	444	0	170	28	0	0	361
96a177c7d9fe69540ef28119f340ec99	0	0	0	0	0	0	0	0	0	0	272	0	246	53	1934	0	954	0	0	0	0
76af76d18ff044c3f5aea9e78a85baf7	97	73	0	2120	43	0	29	0	0	0	413	0	16	0	64	0	35	3	0	372	48
9d614c067c441d8a9480a1d7f040072e	0	0	0	0	142	0	126	0	0	0	2209	0	126	0	223	0	217	0	0	26	13
039b330945c86d35a292bb1a0d029d40	0	0	0	0	7	0	0	0	0	0	546	0	57	14	1043	0	1359	0	0	0	0
2c1145826361b8caaa26aae5369a3bdf	152	1026	28	0	96	0	67	148	0	0	136	0	187	0	243	0	273	46	0	0	0
0ec73868c65ec2e1a3618c17e138195c	274	318	0	237	205	0	238	0	0	0	65	0	36	0	243	0	275	25	4	0	466
1f2b21bc052cb0656da1f3e673c1ebb2	0	0	0	0	25	0	0	0	0	0	176	0	208	0	632	0	1169	0	8	0	0
96595fee71ccd0455b2967949c8016e3	0	0	0	0	25	0	198	0	0	12	1810	0	124	0	16	0	0	0	0	0	15
a735069357ce3bff25f964e614dc9f50	80	73	20	0	621	0	80	0	0	0	187	0	73	0	520	0	243	0	0	41	223
98a5b6da12dff21114b8c3302d58c9ee	0	11	8	0	16	0	12	0	12	0	136	0	14	0	59	0	1854	0	0	0	15
b4903dd51eb41689ecf2d44c6df239b2	62	63	0	96	162	0	33	0	0	0	369	5	112	7	687	0	307	20	37	69	96
5ab08f77a1e90f4869d69d602521363e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	0	1750	0	0	0	0
3fbc1c2532fb76354cf750ba43944c89	20	32	24	0	62	0	188	0	0	0	336	0	65	0	284	0	866	0	0	0	80
36a4c622d3787881baa568a1ba6046b9	325	0	0	0	0	0	681	245	0	0	0	0	0	0	0	0	0	0	0	0	432
e7616da48825d69487217c02d56ed064	0	0	0	0	0	0	0	0	0	0	1473	0	0	0	53	0	0	0	0	0	26
248d685efcdb0f4adbebed6463e2fd8d	58	43	0	0	29	0	52	0	0	0	80	0	296	0	273	0	599	0	0	0	22
8b30cf3f5e8c27b4aacc4736f6cd6ed9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	15	1262	0	0	0	0
83c194429e19fe7c040d099dadade7e0	0	0	0	752	0	21	0	0	0	262	0	182	0	99	0	41	48	0	0	0	0
c5548ed311eb7b4a4b06e500dafc48ff	0	10	22	7	23	0	67	0	0	108	333	0	124	0	182	0	162	32	0	6	195
9230a5d018cf30449d6606d1b25d9b2c	85	100	0	0	146	0	740	0	0	0	0	0	0	0	7	0	24	20	0	12	100
3b3e7b6d5d5419d61f279996ec87d13a	0	0	0	0	0	0	0	0	0	0	0	3	0	11	0	1191	0	0	0	0	0
f7b901f2d99386e3f057c26c64ddbaf2	0	56	31	38	31	0	0	0	0	0	159	0	76	0	116	4	333	99	0	0	64
aa362e133f4a3742c7c0b51823dcefff	85	53	0	0	0	0	17	0	0	0	67	0	96	0	196	0	400	0	0	0	26
c8beb29f8c766765fc1a8ce124f642af	0	25	0	0	0	0	485	0	0	0	157	0	24	0	194	0	54	0	0	0	0
a1cc6dd666afc98d00326d35f43bae73	0	0	26	0	252	0	47	0	0	0	38	0	13	0	187	0	209	17	8	0	63
d16938cc809b9186b4b6d32892c4eddd	72	62	82	0	158	0	182	0	11	0	72	0	28	0	43	0	32	28	0	0	89
2befbeef9466383c925542f8150749b5	0	0	0	0	0	0	0	0	846	0	0	0	0	0	0	0	0	0	0	0	0
a1a363ebfa5e222880fbbc2877328c93	0	17	0	0	46	0	83	0	0	0	170	0	15	0	70	0	392	0	0	29	22
2fc32256e74d5cc16fd440d96a3733d9	0	0	0	0	0	0	0	0	0	0	12	0	61	10	230	0	492	0	0	0	0
5207151388e3c1cb2fe7d75d59f26e79	65	491	0	97	0	23	41	0	12	0	40	0	0	0	0	0	0	0	0	0	13
9b913f388f72540499d96686bf75218f	0	7	6	0	143	0	499	0	0	0	37	0	19	0	17	0	0	0	0	0	31
4912ee68947e8529e2eac96d81f4e26a	125	204	0	3	27	0	40	0	0	0	187	0	0	0	4	0	0	0	0	149	8
35c96737e44f9a025c844504c09521e6	84	36	0	54	0	35	64	0	0	0	322	0	0	0	40	0	31	0	0	14	0
315d2dab44d975c2d7adef16cd6226f8	0	0	0	479	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	88	0
bda174380b89c8dafb8a61126ad57210	0	0	0	0	10	0	0	0	0	0	10	0	7	0	185	0	387	0	0	0	10
8b1ca5c7eda7f9278a28edd834c461be	59	110	0	70	0	0	3	0	0	0	42	0	11	0	214	0	72	0	0	0	10
35c7ac712d7bfb9eded614644fdd5eab	112	9	0	18	11	0	371	0	0	0	0	0	0	0	0	0	0	0	0	27	16
7ef9ef0f1d7fc89f3fa1d17d92b4e6d8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	505	0	0	0	0
4b45e0fc6276ae0245aea2cf6c2de70e	54	33	0	50	0	164	44	0	0	66	41	21	0	0	8	0	0	0	0	22	0
21379a9416c7659533efc5735cde259e	0	0	0	444	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0
20d8843bf7213e7bf6592cdb191a9e96	11	25	0	111	0	70	51	0	0	16	165	0	0	0	24	0	0	0	0	0	0
6d4b1a66b11c7dca0cc75dbfcb3e3043	0	0	0	0	0	0	0	0	0	89	0	113	0	218	0	46	0	0	0	0	0
e6794d71335fe9c08483e2d87506ab80	8	15	0	0	0	0	10	0	0	0	24	0	18	0	40	0	321	0	0	0	11
9ca3ba7165b71dfa75647c347b1aa034	0	0	0	0	0	0	0	0	0	0	20	0	17	0	111	0	257	0	0	0	0
92c99a76c83d47c4ed1259c807985355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	398	0	0	0	0
ab985cf0ad0420c1a343fbc97ce8f698	91	44	0	3	0	0	27	136	0	0	31	13	0	6	24	0	0	0	0	16	0
b3e163b6fe9838157f405611dc3e693f	80	53	0	0	0	176	19	0	0	0	32	0	0	0	13	0	0	0	0	7	0
20d526a736412cffe5fdea0f89b3fbcb	11	0	0	28	11	201	30	0	0	0	0	5	0	26	5	47	0	0	0	0	13
