#OTUID	KOSMOS.D1.M1BS	KOSMOS.D1.MPBS	KOSMOS.D15.M1AS	KOSMOS.D15.MPAS	KOSMOS.D24.M1A	KOSMOS.D24.MPAS	KOSMOS.D32.M1AS	KOSMOS.D32.MPAS	KOSMOS.D36.M1AS	KOSMOS.D36.MPAS	KOSMOS.D42.M1AS	KOSMOS.D42.MPAS	KOSMOS.D48.M1AS	KOSMOS.D48.MPAS	KOSMOS.D8.M1AS	KOSMOS.D8.MPAS
42219cdab667ede06141ed99b77e6e3c	6159	7083	406	6522	0	9863	23	1962	10	328	290	4688	628	15941	4027	12146
d9229fe38c2083c24186be92bbef13ae	723	1431	599	2097	1904	2947	3825	3235	1508	649	4333	1167	4785	5566	556	1160
6db05a10707818fbe75a590499339995	2758	2132	38	69	0	5686	0	22	0	0	0	116	0	13	27	3290
de07b97b3c8bed8fd34d50acf341fa65	731	800	235	617	219	2131	114	4261	12	854	57	5757	72	9673	17380	686
84db7bef4e63768342c4e6d91424b528	458	926	1798	64	1823	427	672	2983	263	1552	1145	446	284	177	123	78
a713278facfda956576d93f0ebab0918	101	214	236	224	52	243	75	1281	10	372	4	711	4	1142	32	261
2323d65b8fb56eefaf44bb37a8fdd372	0	17	8	29	0	434	8	4489	9	326	0	49	0	22	39	0
cfbb54fabdb1c962e69e5e2d8b7ec2c6	949	2419	1107	1593	145	869	722	3017	586	713	399	2043	255	1609	67	1160
96a177c7d9fe69540ef28119f340ec99	199	173	96	392	0	403	0	1136	5	536	70	3751	41	5710	86	281
76af76d18ff044c3f5aea9e78a85baf7	385	298	3453	48	362	132	88	641	33	45	30	358	41	131	525	96
96595fee71ccd0455b2967949c8016e3	21	40	157	88	0	203	12	2002	0	132	0	186	0	169	67	19
36a4c622d3787881baa568a1ba6046b9	325	0	0	0	0	681	0	0	0	0	0	0	0	0	0	432
248d685efcdb0f4adbebed6463e2fd8d	58	43	0	29	0	52	0	80	0	296	0	273	0	737	0	22
3b3e7b6d5d5419d61f279996ec87d13a	0	0	0	0	0	0	0	0	3	0	11	0	1191	0	0	0
aa362e133f4a3742c7c0b51823dcefff	123	82	0	28	243	23	0	90	0	96	0	196	0	488	0	26
c8beb29f8c766765fc1a8ce124f642af	0	25	0	0	0	485	0	157	0	24	0	194	0	54	0	0
9b913f388f72540499d96686bf75218f	0	7	0	143	0	499	0	37	0	19	0	17	0	0	0	31
4912ee68947e8529e2eac96d81f4e26a	138	214	18	44	5	60	0	206	0	0	0	13	0	19	149	8
4b45e0fc6276ae0245aea2cf6c2de70e	54	33	61	0	201	50	183	50	54	0	0	8	0	0	22	0
42624d4c60b33699c28a95ca27129319	57	181	0	11	0	17	0	2	0	19	0	34	0	0	0	33
b312a1d9d769c6da59c68893ee7c4582	33	48	31	21	149	196	244	178	56	14	0	89	88	0	10	22
2cf85d07a8ecd3fb2b87a9f36708260b	0	22	8	14	0	0	31	58	7	16	17	170	0	98	86	0
f19d778b495d614ed62c00879047c35c	10	40	0	57	0	40	0	90	0	13	0	33	0	29	0	29
c979da06b859784bf58df00a55ccc8fb	22	33	114	28	0	4	0	6	0	0	0	12	0	28	8	0
64eb8580f35a7ef73a87fa5a1a0aa95d	111	39	78	2	159	50	107	219	43	17	31	56	13	59	8	0
e55a78a1c8062a8044c653d07dbd915a	59	58	14	24	0	55	0	15	0	18	0	40	17	12	0	4
fa633eb2208ad0b9211b90e1da630ec7	2	8	0	3	0	42	0	5	0	0	0	3	0	0	0	10
178f2b30b80c8008b3f17bfc73d0810f	8	9	0	0	0	11	0	63	0	0	0	7	0	132	0	0
836c8649bf9c3e71c1fecea4f98ece34	14	15	9	11	0	0	0	5	0	0	0	15	0	12	0	15
00cd1bef5a53b8e7548c39a3ddef1846	11	6	5	0	0	0	0	3	0	0	0	0	0	0	49	0
8a6c94726c0780da709f413ba6a92c91	25	17	0	23	0	0	0	26	0	0	0	0	0	0	0	8
e63fe703fb79408e5bc38e35b928ae07	8	28	0	7	0	20	0	0	0	0	0	0	0	0	0	5
653689c0090cd499534548cb2ac92fde	0	0	0	0	0	0	0	5	0	5	0	15	0	0	0	0
6ff2b5e928b906c7e6c9160aa8a82c08	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0
a747673f614170a78208246c62a15d2c	0	0	5	0	0	9	0	0	0	0	0	0	0	0	0	0
5c279554584d314b39b8e0bccf615b79	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
