#OTUID	Kingdom	Supergroup	Phylum	Class	Subclass	Order	Suborder	Family	Genus	Species
42219cdab667ede06141ed99b77e6e3c	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosirales_X			
d9229fe38c2083c24186be92bbef13ae	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosirales_X	Skeletonemataceae		
6db05a10707818fbe75a590499339995	Eukaryota	Stramenopiles	Ochrophyta							
de07b97b3c8bed8fd34d50acf341fa65	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae					
393253aa18abfdac36ef0d53c7222c1b	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae					
e0d3f83ed24e56018290f2b7943acc9b	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosirales_X			
ac4b602d4fd4d598c0c79053880a6fe7	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosirales_X	Skeletonemataceae		
094d282e5759e5d296f2b9c4fe77500d	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosirales_X			
84db7bef4e63768342c4e6d91424b528	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Pyrenomonadales	Pyrenomonadales_X	Pyrenomonadales_XX	Pyrenomonadales_XXX	Pyrenomonadales_XXX
a713278facfda956576d93f0ebab0918	Eukaryota	Archaeplastida	Chlorophyta	Trebouxiophyceae	Trebouxiophyceae_X	Chlorellales	Chlorellales_X	Chlorellaceae		
2323d65b8fb56eefaf44bb37a8fdd372	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae	Melosirales	Melosirales_X	Melosiraceae		
ba023c775d2cf34fc8c622062b6178be	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptophyceae_X	Pyrenomonadales	Pyrenomonadales_X	Pyrenomonadales_XX	Pyrenomonadales_XXX	Pyrenomonadales_XXX
4a3da0cc978406fc647a28f932c13567	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Coscinodiscophyceae					
