asv,KOSMOS-D1-M1BS,KOSMOS-D1-MPBS,KOSMOS-D15-DW2,KOSMOS-D15-M1AS,KOSMOS-D15-MPAS,KOSMOS-D24-M1A,KOSMOS-D24-MPAS,KOSMOS-D3-control1,KOSMOS-D3-control2,KOSMOS-D32-M1AS,KOSMOS-D32-MPAS,KOSMOS-D36-M1AS,KOSMOS-D36-MPAS,KOSMOS-D42-M1AS,KOSMOS-D42-MPAS,KOSMOS-D48-M1AS,KOSMOS-D48-MPAS,KOSMOS-D8-DW1,KOSMOS-D8-DW2,KOSMOS-D8-M1AS,KOSMOS-D8-MPAS,taxonomy
d47fbc8bf4a19f82431bc9f1d1886734,20971,12595,2837,8440,15859,18851,13785,1291,120,8267,12624,4539,6852,1103,6311,1953,11220,15245,762,3175,20247,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ia
edbdf2f0994a078171a44765047f8302,11101,9033,3888,15360,12254,6742,15382,1245,24,2294,4801,699,14789,1547,19026,7297,13455,988,485,15963,11697,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;D_5__HIMB11
29ed83fb2adbe78d42322e5c5e6fdf52,0,0,0,4,0,3476,16,0,6,18426,28000,28897,10937,5805,39903,10987,21099,0,0,0,0,D_0__Bacteria;D_1__Patescibacteria;D_2__Saccharimonadia;D_3__Saccharimonadales;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium
ccb2f3e0b732851713eb44527cc8550d,774,710,1938,1809,2366,317,727,48,50,2033,3785,1626,2403,434,3525,89,7356,40664,40047,41,7500,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Thiomicrospirales;D_4__Thioglobaceae;D_5__SUP05 cluster
042b7404bc696020138b8631c25ba1bd,2098,1974,843,8983,2336,4373,2212,79,0,3159,732,15190,1050,30404,1498,8769,739,258,75,7444,2115,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;D_5__Planktomarina
12cf958aac38df753bd74152c9de7b19,0,0,11,0,0,0,0,74876,12647,21,0,11,0,14,0,0,0,94,4,85,483,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae;D_5__Ralstonia
bd60cd0979eb7e764bf07740b4b3dec6,1839,979,240,7820,4099,12135,3183,7,18,3257,9594,1125,5519,3295,7644,5023,6088,577,50,4193,1313,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae
3627f9c0ad5d9121ddcac3b6e59c19a7,2205,1783,317,1986,2843,2815,3747,359,10,3757,3168,8083,5303,9661,5676,3579,3457,85,19,16779,1987,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Cryomorphaceae;D_5__uncultured
fe704b4923bc1a844464f5d5256e4974,2674,1708,116,7309,4012,2094,3556,0,15,1168,4130,10536,3939,6746,6979,224,4433,135,39,4541,2722,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Flavobacteriaceae;D_5__Formosa;D_6__uncultured marine bacterium
7853bf02be29f05da1c041609250bb75,731,990,467,835,419,1645,225,0,58,14146,287,11451,198,15682,693,16374,591,356,184,1072,483,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae
