sequence,Kingdom,Supergroup,Phylum,Class,Subclass,Order,Suborder,Family,Genus,Species,nOccurrences,total_reads,percentage_reads
de07b97b3c8bed8fd34d50acf341fa65,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Coscinodiscophyceae,,,,,,8,18820,25.8
d9229fe38c2083c24186be92bbef13ae,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,,Skeletonemataceae,,,8,18233,25
42219cdab667ede06141ed99b77e6e3c,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,,,,,7,11543,15.8
84db7bef4e63768342c4e6d91424b528,Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae,,Pyrenomonadales,,,,,8,6566,9
76af76d18ff044c3f5aea9e78a85baf7,Eukaryota,Stramenopiles,Ochrophyta,Dictyochophyceae,,,,,,,8,4917,6.7
83c194429e19fe7c040d099dadade7e0,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyceae,,,,,,8,4230,5.8
6db05a10707818fbe75a590499339995,Eukaryota,Stramenopiles,Ochrophyta,,,,,,,,3,2823,3.9
3b3e7b6d5d5419d61f279996ec87d13a,Eukaryota,Stramenopiles,Ochrophyta,Phaeophyceae,,,,,,,3,1205,1.6
b312a1d9d769c6da59c68893ee7c4582,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,,Prymnesiales,,,,,7,611,0.8
4b45e0fc6276ae0245aea2cf6c2de70e,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,,Prymnesiales,,Chrysochromulinaceae,,,6,575,0.8
7f729fcd2d6ba69b0b89986b1b5f6ecd,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,,,,,,,8,550,0.8
a713278facfda956576d93f0ebab0918,Eukaryota,Archaeplastida,Chlorophyta,Trebouxiophyceae,,Chlorellales,,Chlorellaceae,,,8,514,0.7
b4903dd51eb41689ecf2d44c6df239b2,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,,,,,6,497,0.7
a907c242383e2c256496dd4a09417c6e,Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,,Mamiellales,,Mamiellaceae,,,2,366,0.5
36a4c622d3787881baa568a1ba6046b9,Eukaryota,Stramenopiles,Ochrophyta,Raphidophyceae,,Chattonellales,,Chattonellaceae,,,1,325,0.4
4912ee68947e8529e2eac96d81f4e26a,Unassigned,,,,,,,,,,4,310,0.4
61a30a195aa50828309cd6a42dd81d6e,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,,,,,,,4,257,0.4
2cf85d07a8ecd3fb2b87a9f36708260b,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyceae,Cymbellales,,Cymbellaceae,,,5,149,0.2
c979da06b859784bf58df00a55ccc8fb,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,,,,,,,3,144,0.2
e55a78a1c8062a8044c653d07dbd915a,Eukaryota,Archaeplastida,Chlorophyta,Prasinophyceae,,Pyramimonadales,,Pyramimonadaceae,,,3,90,0.1
00cd1bef5a53b8e7548c39a3ddef1846,Eukaryota,Stramenopiles,Ochrophyta,Pelagophyceae,,,,,,,3,65,0.1
2323d65b8fb56eefaf44bb37a8fdd372,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Coscinodiscophyceae,Melosirales,,Melosiraceae,,,4,64,0.1
248d685efcdb0f4adbebed6463e2fd8d,Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,,Mamiellales,,,,,1,58,0.1
42624d4c60b33699c28a95ca27129319,Eukaryota,Archaeplastida,Chlorophyta,Trebouxiophyceae,,Prasiolales,,Koliellaceae,,,1,57,0.1
8a6c94726c0780da709f413ba6a92c91,Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,,Mamiellales,,Bathycoccaceae,,,1,25,0
836c8649bf9c3e71c1fecea4f98ece34,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Coscinodiscophyceae,Cymatosirales,,Cymatosiraceae,,,2,23,0
f19d778b495d614ed62c00879047c35c,Eukaryota,Archaeplastida,,,,,,,,,1,10,0
178f2b30b80c8008b3f17bfc73d0810f,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,,Phaeocystales,,Phaeocystaceae,,,1,8,0
e63fe703fb79408e5bc38e35b928ae07,Eukaryota,Archaeplastida,Chlorophyta,Chlorodendrophyceae,,Chlorodendrales,,Chlorodendraceae,Tetraselmis,Tetraselmis,1,8,0
ac16f0bffc7d7d656ae6e8f1c58f165c,Eukaryota,,,,,,,,,,1,5,0
fa633eb2208ad0b9211b90e1da630ec7,Eukaryota,Archaeplastida,Chlorophyta,Ulvophyceae,,Oltmannsiellopsidales,,Oltmannsiellopsidaceae,Oltmannsiellopsis,Oltmannsiellopsis,1,2,0
