"ASV","KOSMOSD15_DW2_UU","KOSMOSD15_M1AS_UU","KOSMOSD15_MPAS_UU","KOSMOSD1_M1BS_UU","KOSMOSD1_MPBS_UU","KOSMOSD24_M1AS_UU","KOSMOSD24_MPAS_UU","KOSMOSD32_M1AS_UU","KOSMOSD32_MPAS_UU","KOSMOSD36_M1AS_UU","KOSMOSD36_MPAS_UU","KOSMOSD3_MQCBa_UU","KOSMOSD3_ROCBa_UU","KOSMOSD42_M1AS_UU","KOSMOSD42_MPAS_UU","KOSMOSD48_M1AS_UU","KOSMOSD48_MPAS_UU","KOSMOSD8_DW1A_UU","KOSMOSD8_DW2A_UU","KOSMOSD8_M1AS_UU","KOSMOSD8_MPAS_UU"
"ASV_1",0,0,0,0,0,1,4,0,6,0,3,1,0,1,445,0,53,0,0,0,0
"ASV_3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5
"ASV_4",4,0,5,0,0,6,0,0,27,0,0,9,16,0,9,5,0,0,0,0,34
"ASV_5",104,316,365,7054,4380,3,1147,0,126,72,154,1040,0,817,122,710,700,719,4366,712,2408
"ASV_6",117,817,3647,921,1349,93,337,437,433,3773,2325,4304,655,4407,3381,3199,1762,376,130,1284,1060
"ASV_7",1329,6157,7934,3850,4621,137,42,317,279,482,176,2970,461,1040,575,1771,558,3067,1428,6327,1326
"ASV_8",139,492,605,1491,985,188,101,98,181,728,348,1442,8,225,311,63,83,2175,3948,985,110
"ASV_9",9663,944,17964,12500,6823,38,7420,2,632,13,568,8436,1077,107,5418,14,13117,2096,8888,7252,8630
"ASV_10",411,10408,2406,11114,18926,12912,35696,28324,17355,20701,18520,22919,155,5951,5484,2748,5559,5551,149,46622,7383
"ASV_11",0,0,129,1875,163,0,2583,0,6,0,156,28,0,0,205,0,0,0,0,0,0
"ASV_13",0,0,0,0,0,0,0,0,0,0,0,13,3,0,5,0,10,0,0,8,0
"ASV_15",0,0,0,2,0,0,0,0,0,0,0,501,2130,0,1,0,0,1,0,0,0
"ASV_16",0,0,11,0,0,0,1,1,5,0,5,3,0,2,16,6,7,3,0,2,6
"ASV_19",0,0,0,0,1,0,0,0,2,0,2,0,0,1,0,0,4,2,0,0,1
"ASV_20",0,0,3,19,6,0,0,0,0,0,0,0,0,1,0,0,7,0,33,0,0
"ASV_21",17,91,60,1101,1192,51,38,16,76,46,33,58,0,7,27,6,17,7,28,0,60
"ASV_22",0,0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"ASV_25",0,0,10,1,1,0,9,0,9,0,5,0,0,2,33,0,190,0,0,0,0
"ASV_26",0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,2,0
"ASV_27",0,0,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0
"ASV_28",0,0,1,0,0,0,0,0,0,0,3,2,0,0,5,0,7,0,0,0,1
"ASV_29",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"ASV_30",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"ASV_31",277,0,194,46,67,3,36,0,422,0,91,53,0,0,193,1,311,1,16,13,36
"ASV_32",0,1,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,5,1
"ASV_33",0,0,1,2,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,2,0
"ASV_34",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ASV_36",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,2
"ASV_38",0,0,0,0,0,0,0,0,3,0,0,26,0,0,3,0,0,0,0,0,0
"ASV_39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ASV_40",12,282,137,122,154,181,0,251,37,225,29,0,0,308,22,405,2,0,2,296,2
"ASV_41",10,3118,523,559,1177,1061,312,3368,1540,2981,1172,133,1,907,638,7,331,1,10,2950,388
"ASV_42",15,8,34,38,36,1,22,0,19,3,9,0,1,5,68,453,13,7,5,8,13
"ASV_43",1,0,2,0,0,4,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0
"ASV_44",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0
"ASV_45",0,0,0,0,0,0,0,0,873,0,0,3,0,0,0,0,0,0,0,0,4
"ASV_46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
"ASV_47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ASV_48",0,0,0,3,1,1,0,0,1,0,3,0,0,0,0,0,1,0,0,3,1
"ASV_49",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"ASV_51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ASV_52",0,0,1,3,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,2,1
"ASV_53",0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"ASV_54",0,0,8,0,5,0,0,1,0,0,1,0,0,2,0,0,3,0,0,0,0
"ASV_57",0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
"ASV_58",0,0,0,0,1,1,0,1,1,0,0,0,0,3,1,0,0,0,0,0,0
"ASV_59",4,3,5,18,42,0,2,0,3,0,1,0,0,1,16,49,0,1,4,0,6
"ASV_60",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31,9,0,1
"ASV_63",57,4,126,44,97,0,7,0,6,0,6,235,0,0,1,0,7,18,36,29,21
"ASV_64",0,0,3,0,1,1,3,1,0,43,28,282,0,241,55,5,10,0,0,0,1
"ASV_65",4,18,74,17,13,0,26,0,29,0,37,9,0,10,95,9,14,32,4,16,4
"ASV_66",0,0,0,0,0,0,2,0,5,1,111,0,0,3,241,13,727,0,0,0,0
"ASV_67",0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0
"ASV_69",1,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0
"ASV_70",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_72",4,0,0,0,0,1,0,2,1,0,0,46,0,0,5,0,15,0,0,0,11
"ASV_73",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"ASV_74",0,4,35,29,74,0,0,0,1,7,7,10,0,5,5,4,5,12,0,6,43
"ASV_75",0,7,39,869,195,0,9,2,52,23,4,192,0,1091,99,78,50,2,55,45,12
"ASV_76",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"ASV_77",0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
"ASV_78",1,0,9,38,2,0,14,0,0,0,1,0,0,1,42,0,769,2,0,80,2
"ASV_79",0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,6,0,0,0,0
"ASV_80",0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0
"ASV_81",0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"ASV_82",0,5,17,8,3,1,0,0,3,1,3,0,0,1,0,0,0,7,1,7,0
