"ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_1","Eukaryota","Ctenophora","Tentaculata","Cydippida","Pleurobrachiidae","Pleurobrachia","unassigned"
"ASV_3","Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","unassigned","unassigned","unassigned"
"ASV_4","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Metridinidae","Metridia","unassigned"
"ASV_5","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","unassigned"
"ASV_6","Eukaryota","unknown","Dinophyceae","Thoracosphaerales","Thoracosphaeraceae","Ensiculifera","Ensiculifera imariensis"
"ASV_7","Eukaryota","unknown","Dinophyceae","unknown","unknown","unknown","Dinophyceae sp. CCMP1878"
"ASV_8","Eukaryota","unknown","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"ASV_9","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Skeletonemataceae","Skeletonema","unassigned"
"ASV_10","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Paracalanidae","Paracalanus","unassigned"
"ASV_11","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"ASV_13","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Calanidae","unassigned","unassigned"
"ASV_15","Eukaryota","Cnidaria","Hydrozoa","Anthoathecata","Pandeidae","Leuckartiara","Leuckartiara octona"
"ASV_16","Eukaryota","unknown","Acantharea","unknown","unknown","unknown","Acantharian sp. 6201"
"ASV_19","Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","unassigned","unassigned","unassigned"
"ASV_20","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","unassigned","unassigned"
"ASV_21","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","unassigned","unassigned"
"ASV_22","Eukaryota","unknown","Diplonemea","Diplonemea","unknown","g_","s_"
"ASV_25","Eukaryota","unknown","Haptophyta","Phaeocystales","Phaeocystaceae","Phaeocystis","unassigned"
"ASV_26","Eukaryota","Mollusca","Gastropoda","Lepetellida","Lepetodrilidae","unassigned","unassigned"
"ASV_27","Eukaryota","unknown","unknown","unknown","unknown","unknown","uncultured marine picoeukaryote"
"ASV_28","Eukaryota","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned"
"ASV_29","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","Chaetoceros debilis"
"ASV_30","Eukaryota","Arthropoda","Malacostraca","Decapoda","unassigned","unassigned","unassigned"
