"ASV","KOSMOSD15_DW2_X","KOSMOSD15_M1AS_X","KOSMOSD15_MPAS_X","KOSMOSD1_M1BS_X","KOSMOSD1_MPBS_X","KOSMOSD24_M1AS_X","KOSMOSD24_MPAS_X","KOSMOSD32_M1AS_X","KOSMOSD32_MPAS_X","KOSMOSD36_M1AS_X","KOSMOSD36_MPAS_X","KOSMOSD3_MQCBa_X","KOSMOSD3_ROCBa_X","KOSMOSD42_M1AS_X","KOSMOSD42_MPAS_X","KOSMOSD48_M1AS_X","KOSMOSD48_MPAS_X","KOSMOSD8_DW1A_X","KOSMOSD8_DW2A_X","KOSMOSD8_M1AS_X","KOSMOSD8_MPAS_X"
"ASV_1",0,0,67,32,16,0,1,0,235,0,555,0,0,60,686,0,2203,0,0,0,3
"ASV_6",0,0,8,13,9,0,0,0,17,0,58,0,1,5,101,0,177,1,2,0,2
"ASV_10",3,214,2607,7516,7634,0,69,0,1855,413,3995,0,357,588,6550,15,6004,589,841,339,1168
"ASV_18",0,0,71,842,525,0,165,0,0,0,0,0,0,0,0,0,8,90,36,0,104
"ASV_28",0,6,109,13,2,24,13,0,34,3,55,0,0,0,18,0,21,32,33,0,19
"ASV_35",4100,140,787,199,427,0,67,9,28,112,179,0,0,226,7067,152,1212,2888,7859,9858,193
"ASV_46",65,4,3,0,0,328,0,32,3,61,1,3195,43,360,13,115,0,2,62,29,3
"ASV_48",4,242,1981,4740,4135,0,90,1,1292,76,3479,0,600,341,5699,295,9683,173,869,325,763
"ASV_60",9,59,286,461,313,170,50,6,10,59,49,0,0,6,19,6,44,69,232,7,189
"ASV_105",0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,52,0,0
"ASV_126",0,0,0,0,0,0,0,0,0,6,0,0,0,0,105,0,0,0,0,0,0
"ASV_148",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"ASV_154",0,0,5,2,0,0,0,0,3,0,7,0,0,0,12,6,11,1,0,0,8
"ASV_160",0,43,238,92,23,0,149,0,61,1,27,0,0,0,58,0,9,36,14,0,319
"ASV_165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0
"ASV_166",0,0,0,62,92,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_189",0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0
"ASV_205",0,214,0,5,10,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ASV_227",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_242",0,24,70,40,35,0,6,0,15,0,15,0,0,3,36,24,10,32,13,0,239
"ASV_253",2,9,0,0,0,3,0,26,0,66,0,0,0,36,0,25,0,0,0,1,1
"ASV_263",0,0,19,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_283",0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0
"ASV_290",0,111,267,107,59,30,85,13,39,5,70,0,0,6,123,30,101,85,102,0,491
"ASV_294",0,51,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_300",0,0,5,0,0,0,0,0,1,0,0,0,0,0,4,0,3,0,0,0,1
"ASV_356",0,0,27,79,46,0,30,0,13,0,6,0,0,0,2,0,2,42,8,0,104
"ASV_372",0,0,10,6,10,0,0,0,0,0,3,1,0,2,0,1,1,0,1,1,1
"ASV_383",0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,3,0,0,0,0,0
"ASV_398",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
