"","sampling.day","mesocosm","value","parameter"
"1",1,"M1",19.77805091,"temp"
"2",2,"M1",19.72889949,"temp"
"3",3,"M1",19.67989073,"temp"
"4",4,"M1",19.51443419,"temp"
"5",6,"M1",19.67882091,"temp"
"6",8,"M1",18.51829023,"temp"
"7",10,"M1",18.83056178,"temp"
"8",12,"M1",18.81435293,"temp"
"9",13,"M1",19.16138579,"temp"
"10",14,"M1",19.42479514,"temp"
"11",15,"M1",19.94921454,"temp"
"12",16,"M1",19.83930932,"temp"
"13",17,"M1",19.87965512,"temp"
"14",18,"M1",20.20112671,"temp"
"15",20,"M1",20.13862957,"temp"
"16",22,"M1",20.09423895,"temp"
"17",24,"M1",19.87125429,"temp"
"18",26,"M1",20.04377133,"temp"
"19",28,"M1",19.76925948,"temp"
"20",30,"M1",19.8950432,"temp"
"21",32,"M1",19.75436449,"temp"
"22",34,"M1",19.67914075,"temp"
"23",36,"M1",19.76361916,"temp"
"24",38,"M1",18.48201512,"temp"
"25",40,"M1",18.4888365,"temp"
"26",42,"M1",18.59330111,"temp"
"27",44,"M1",18.31879346,"temp"
"28",46,"M1",17.96018729,"temp"
"29",48,"M1",18.13524619,"temp"
"30",50,"M1",18.17045245,"temp"
"31",1,"M2",19.73180955,"temp"
"32",2,"M2",19.73363645,"temp"
"33",3,"M2",19.74040346,"temp"
"34",4,"M2",19.54905677,"temp"
"35",6,"M2",19.69354044,"temp"
"36",8,"M2",18.51431848,"temp"
"37",10,"M2",18.83410226,"temp"
"38",12,"M2",18.91568055,"temp"
"39",13,"M2",19.26803651,"temp"
"40",14,"M2",19.43135628,"temp"
"41",15,"M2",19.94693385,"temp"
"42",16,"M2",19.87598736,"temp"
"43",17,"M2",19.87750791,"temp"
"44",18,"M2",20.20340008,"temp"
"45",20,"M2",20.16544329,"temp"
"46",22,"M2",20.10943766,"temp"
"47",24,"M2",19.8793903,"temp"
"48",26,"M2",20.05537213,"temp"
"49",28,"M2",19.82658471,"temp"
"50",30,"M2",19.90483236,"temp"
"51",32,"M2",19.7592775,"temp"
"52",34,"M2",19.68374647,"temp"
"53",36,"M2",19.7338685,"temp"
"54",38,"M2",18.51441201,"temp"
"55",40,"M2",18.49103688,"temp"
"56",42,"M2",18.60037537,"temp"
"57",44,"M2",18.32207516,"temp"
"58",46,"M2",18.01583329,"temp"
"59",48,"M2",18.13382066,"temp"
"60",50,"M2",18.17533595,"temp"
"61",1,"M3",19.76291733,"temp"
"62",2,"M3",19.72771917,"temp"
"63",3,"M3",19.70505324,"temp"
"64",4,"M3",19.54509065,"temp"
"65",6,"M3",19.66499251,"temp"
"66",8,"M3",18.4666523,"temp"
"67",10,"M3",18.83410226,"temp"
"68",12,"M3",18.88290256,"temp"
"69",13,"M3",19.25486034,"temp"
"70",14,"M3",19.46372123,"temp"
"71",15,"M3",19.981676,"temp"
"72",16,"M3",19.80417431,"temp"
"73",17,"M3",19.81151425,"temp"
"74",18,"M3",20.1622716,"temp"
"75",20,"M3",20.0556418,"temp"
"76",22,"M3",20.11709272,"temp"
"77",24,"M3",19.86172631,"temp"
"78",26,"M3",20.02012951,"temp"
"79",28,"M3",19.73771583,"temp"
"80",30,"M3",19.9068313,"temp"
"81",32,"M3",19.73196642,"temp"
"82",34,"M3",19.68472421,"temp"
"83",36,"M3",19.71110246,"temp"
"84",38,"M3",18.42524418,"temp"
"85",40,"M3",18.43405136,"temp"
"86",42,"M3",18.52870157,"temp"
"87",44,"M3",18.29840931,"temp"
"88",46,"M3",17.9852771,"temp"
"89",48,"M3",18.13241428,"temp"
"90",50,"M3",18.16471668,"temp"
"91",1,"M4",19.80706372,"temp"
"92",2,"M4",19.75531819,"temp"
"93",3,"M4",19.72697908,"temp"
"94",4,"M4",19.53770595,"temp"
"95",6,"M4",19.69332946,"temp"
"96",8,"M4",18.48967449,"temp"
"97",10,"M4",18.88533852,"temp"
"98",12,"M4",18.86331308,"temp"
"99",13,"M4",19.16717388,"temp"
"100",14,"M4",19.45888674,"temp"
"101",15,"M4",19.9645895,"temp"
"102",16,"M4",19.82401248,"temp"
"103",17,"M4",19.87432588,"temp"
"104",18,"M4",20.17166981,"temp"
"105",20,"M4",20.11537711,"temp"
"106",22,"M4",20.13696973,"temp"
"107",24,"M4",19.86280255,"temp"
"108",26,"M4",20.02395684,"temp"
"109",28,"M4",19.81385925,"temp"
