sampling.day,mesocosm,value,parameter
1,1,60.07,POC
2,1,55.07,POC
3,1,63,POC
4,1,62.96,POC
6,1,65.77,POC
8,1,68.58,POC
10,1,61.51,POC
12,1,43.4,POC
13,1,56.81,POC
14,1,36.55,POC
15,1,38.55,POC
16,1,40.27,POC
17,1,35.19,POC
18,1,43.31,POC
20,1,62.47,POC
22,1,70.4,POC
24,1,86.59,POC
26,1,83.7,POC
28,1,87.76,POC
32,1,98.6,POC
34,1,100.61,POC
36,1,104.61,POC
38,1,115.46,POC
40,1,103.27,POC
42,1,97.97,POC
44,1,102.32,POC
46,1,112.49,POC
48,1,119.25,POC
50,1,141.37,POC
1,2,50.17,POC
2,2,48.47,POC
3,2,69.18,POC
4,2,77.15,POC
6,2,64.9,POC
8,2,67.3,POC
10,2,53.3,POC
12,2,47.26,POC
13,2,62.3,POC
14,2,38.84,POC
16,2,47.36,POC
17,2,43.34,POC
18,2,49.45,POC
20,2,65.04,POC
22,2,82.64,POC
24,2,96.78,POC
26,2,102.15,POC
28,2,95.6,POC
32,2,98.5,POC
34,2,105.62,POC
36,2,101.58,POC
38,2,104.73,POC
40,2,102.95,POC
42,2,116.1,POC
44,2,109.93,POC
46,2,104.28,POC
48,2,118,POC
50,2,145.13,POC
1,3,65.96,POC
2,3,56.91,POC
3,3,61.74,POC
4,3,58.65,POC
6,3,56.9,POC
8,3,57.63,POC
10,3,50.05,POC
12,3,41.36,POC
13,3,42.67,POC
14,3,39.94,POC
16,3,45.69,POC
17,3,34.15,POC
18,3,31.47,POC
20,3,29.9,POC
22,3,32.07,POC
24,3,42.7,POC
26,3,52.72,POC
28,3,50.64,POC
32,3,72.13,POC
34,3,83.3,POC
36,3,83.98,POC
38,3,112.34,POC
40,3,104.42,POC
42,3,96.74,POC
44,3,95.19,POC
46,3,108.72,POC
48,3,133.96,POC
50,3,154.74,POC
1,4,64.8,POC
2,4,54.71,POC
3,4,67.21,POC
4,4,53.77,POC
6,4,51.9,POC
8,4,57.07,POC
10,4,52.94,POC
12,4,59.68,POC
13,4,60.55,POC
14,4,31.93,POC
15,4,34.55,POC
16,4,31.6,POC
17,4,31.03,POC
18,4,30.82,POC
20,4,27.85,POC
22,4,33.04,POC
24,4,33.63,POC
26,4,32.37,POC
28,4,41.52,POC
32,4,35.53,POC
34,4,37.22,POC
36,4,33,POC
38,4,37.47,POC
40,4,30.78,POC
42,4,30.22,POC
44,4,43.39,POC
46,4,40.93,POC
48,4,42.31,POC
50,4,50.84,POC
1,5,54.68,POC
2,5,56.33,POC
3,5,57.96,POC
4,5,60.23,POC
6,5,58.65,POC
8,5,42.67,POC
10,5,73.59,POC
12,5,44.14,POC
13,5,44.37,POC
14,5,47.06,POC
15,5,39.37,POC
16,5,38.78,POC
17,5,36.72,POC
18,5,62.05,POC
20,5,57.43,POC
22,5,61.1,POC
24,5,75.15,POC
26,5,85.43,POC
28,5,92.06,POC
32,5,84.82,POC
34,5,91.65,POC
36,5,87.34,POC
38,5,95,POC
40,5,94.59,POC
42,5,90.65,POC
44,5,100.41,POC
46,5,125,POC
48,5,138.09,POC
50,5,144.26,POC
1,6,53.78,POC
2,6,49.29,POC
3,6,55.15,POC
4,6,61.77,POC
6,6,54.27,POC
8,6,48.05,POC
10,6,62.33,POC
12,6,49.1,POC
13,6,42.58,POC
14,6,46.59,POC
15,6,42.93,POC
16,6,37.68,POC
17,6,33.44,POC
18,6,37.54,POC
20,6,49.76,POC
22,6,62.13,POC
24,6,88.2,POC
26,6,82.43,POC
28,6,86.4,POC
32,6,85.75,POC
34,6,102.45,POC
36,6,93.22,POC
38,6,111.8,POC
40,6,84.6,POC
42,6,86.93,POC
44,6,86.39,POC
46,6,85.84,POC
48,6,100.81,POC
50,6,118.72,POC
1,7,49.37,POC
2,7,56.31,POC
3,7,61.41,POC
