sampling.day,mesocosm,value,parameter
1,1,4.890476928,chla
2,1,3.856601741,chla
3,1,2.275482077,chla
4,1,2.434711685,chla
6,1,1.663879245,chla
8,1,1.71374113,chla
10,1,1.848085474,chla
12,1,2.114915604,chla
13,1,2.295291497,chla
14,1,2.164869085,chla
15,1,3.066317357,chla
16,1,4.037029955,chla
17,1,3.678414079,chla
18,1,4.764757747,chla
20,1,5.715915529,chla
22,1,3.794092439,chla
24,1,4.123622013,chla
26,1,4.456758195,chla
28,1,4.806852816,chla
30,1,4.755350543,chla
32,1,5.446323501,chla
34,1,6.224616339,chla
36,1,5.730368588,chla
38,1,5.170602422,chla
40,1,5.479977597,chla
42,1,5.003943891,chla
44,1,7.258841705,chla
46,1,12.60335509,chla
48,1,14.74731403,chla
50,1,21.88715035,chla
1,2,2.560521011,chla
2,2,3.726906124,chla
3,2,1.772868522,chla
4,2,1.769996687,chla
6,2,2.232368489,chla
8,2,1.85096618,chla
10,2,2.246945064,chla
12,2,2.71755295,chla
13,2,4.364162324,chla
14,2,4.077413655,chla
15,2,4.052193005,chla
16,2,4.533788404,chla
17,2,4.874534285,chla
18,2,5.879731291,chla
20,2,7.229023577,chla
22,2,3.572927888,chla
24,2,5.631915336,chla
26,2,5.358237799,chla
28,2,4.355953188,chla
30,2,4.60024887,chla
32,2,5.236275186,chla
34,2,3.452929457,chla
36,2,5.38559845,chla
38,2,5.250741594,chla
40,2,4.865727111,chla
42,2,3.424598337,chla
44,2,9.562575418,chla
46,2,8.618741366,chla
48,2,1.386545186,chla
50,2,10.62268147,chla
1,3,3.173159293,chla
2,3,4.433216986,chla
3,3,2.057574385,chla
4,3,2.028323698,chla
6,3,1.824916839,chla
8,3,1.654390276,chla
10,3,1.660753197,chla
12,3,1.177939958,chla
13,3,2.856047169,chla
14,3,2.46448672,chla
15,3,2.082059238,chla
16,3,2.40174907,chla
17,3,2.100866939,chla
18,3,1.653912744,chla
20,3,0.990807449,chla
22,3,1.03420639,chla
24,3,2.799030109,chla
26,3,2.780505647,chla
28,3,3.51994219,chla
30,3,4.286551917,chla
32,3,4.442886424,chla
34,3,1.007786579,chla
36,3,5.633794358,chla
38,3,3.559227831,chla
40,3,5.581973097,chla
42,3,5.193753251,chla
44,3,6.12105318,chla
46,3,11.51385847,chla
48,3,16.49849904,chla
50,3,19.64487514,chla
1,4,4.224875664,chla
2,4,5.255985321,chla
3,4,2.749979608,chla
4,4,1.99464115,chla
6,4,1.807366477,chla
8,4,2.440380081,chla
10,4,2.979633827,chla
12,4,2.022214952,chla
13,4,1.735577093,chla
14,4,1.718162726,chla
15,4,1.889343421,chla
16,4,1.861746023,chla
17,4,1.835443563,chla
18,4,1.599419726,chla
20,4,1.074512054,chla
22,4,0.62512028,chla
24,4,1.21632754,chla
26,4,1.198194599,chla
28,4,1.7843546,chla
30,4,2.431207323,chla
32,4,2.525830865,chla
34,4,0.86164447,chla
36,4,1.90458477,chla
38,4,1.81845524,chla
40,4,1.33764373,chla
42,4,1.278034586,chla
44,4,2.339325736,chla
46,4,1.831425844,chla
48,4,1.994109568,chla
50,4,1.617082747,chla
1,5,3.210869577,chla
2,5,3.770764519,chla
3,5,2.241480598,chla
4,5,2.280800398,chla
6,5,2.317141999,chla
8,5,1.43784026,chla
10,5,1.744712706,chla
12,5,3.561594276,chla
13,5,4.097540469,chla
14,5,3.856692719,chla
15,5,3.012732821,chla
16,5,2.59988499,chla
17,5,2.956269162,chla
18,5,3.800451595,chla
20,5,5.439762085,chla
22,5,3.365037861,chla
24,5,4.821870491,chla
26,5,4.984128239,chla
28,5,4.626833947,chla
30,5,4.120157369,chla
32,5,4.398939738,chla
34,5,4.670985049,chla
36,5,5.409415375,chla
38,5,5.242253448,chla
40,5,4.18709623,chla
42,5,4.803275251,chla
44,5,8.454832749,chla
46,5,14.31601146,chla
48,5,18.28418158,chla
50,5,18.16138273,chla
1,6,2.673942279,chla
2,6,3.140122457,chla
3,6,1.846792784,chla
4,6,2.173548435,chla
6,6,1.904868433,chla
8,6,1.519136102,chla
10,6,1.987702336,chla
12,6,4.250453259,chla
13,6,3.613632449,chla
14,6,4.842559885,chla
15,6,3.519385402,chla
16,6,2.787468111,chla
17,6,2.804444104,chla
18,6,3.330857187,chla
