day,M1,M2,M3,M4,M5,M6,M7,M8,Pacific
1,35.16887743,35.18973163,35.17174458,35.16380604,35.18141493,35.19036949,35.19400509,35.18239257,35.17500188
2,35.18430073,35.20337264,35.18505178,35.17537871,35.19702304,35.20274864,35.2033759,35.19839331,35.19998884
3,35.19197161,35.21497554,35.18993872,35.18421338,35.20174238,35.20853288,35.2103613,35.20700028,35.21316878
4,35.19445271,35.20958479,35.19380227,35.18197134,35.2017046,35.20581075,35.20994591,35.20523469,35.21143568
6,35.18870853,35.20804366,35.19047132,35.18274046,35.2001862,35.20437872,35.20473997,35.20384504,35.20303526
8,35.20166076,35.22067948,35.2050179,35.19561503,35.21421736,35.18091809,35.22236979,35.21720821,35.21027211
10,35.21302104,35.21064415,35.21064415,35.20197216,35.22071832,35.22576886,35.22884077,35.22468881,35.1598317
12,35.2275988,35.24148517,35.22508235,35.22155881,35.24122558,35.23969498,35.24111302,35.23901775,35.21523755
13,35.22590916,35.23543617,35.22383959,35.22375388,35.22979282,35.23372831,35.23716643,35.23880977,35.00798682
14,35.58463722,35.58786551,35.57359785,35.58225589,35.59554138,35.60345762,35.61357282,35.60580408,35.13086612
15,35.60439929,35.60316403,35.57693958,35.59094035,35.59689324,35.60459789,35.61824585,35.60991863,35.15907926
16,35.59790897,35.59972316,35.59526114,35.59656627,35.60195519,35.60267511,35.62152727,35.61169356,35.14917442
17,35.61089738,35.60428663,35.60176303,35.6005238,35.61667962,35.62399074,35.6373641,35.61944439,35.19478272
18,35.59834644,35.59268817,35.59661149,35.59714241,35.60599388,35.61852915,35.62646438,35.61580779,35.18003072
20,35.60771392,35.60728472,35.60524833,35.60167871,35.61733601,35.62268493,35.63753272,35.62842462,35.15947018
22,35.60915378,35.61347761,35.61144931,35.58402806,35.63730345,35.63332491,35.65047845,35.63293774,34.84901122
24,35.60832037,35.61186631,35.60540611,35.59770477,35.61802721,35.62795856,35.63785519,35.62403979,35.1241266
26,35.61565523,35.61799454,35.61695444,35.60564743,35.62282393,35.63638157,35.64578313,35.63666732,35.14361641
28,35.63166544,35.63484435,35.62742813,35.61830757,35.63737791,,,,35.17219978
30,35.62915983,35.63779288,35.62815051,35.6228283,35.64032372,35.66117357,35.66223402,35.66133675,34.9946239
32,35.63527825,35.6415201,35.62970997,35.63052109,35.64683464,35.66177466,35.66581282,35.66415442,35.22083208
34,35.84552025,35.8477472,35.85314291,35.83880759,35.86042812,35.87413921,35.88952853,35.87721802,35.23217047
36,35.87409035,35.87547763,35.88536602,35.84948049,35.88923232,35.90123284,35.92361353,35.906984,35.21254614
38,35.86430906,35.88146244,35.88235144,35.85189787,35.88753629,35.89944465,35.92167994,35.91010646,35.24062709
40,35.88569607,35.88376796,35.88705104,35.85339404,35.88855298,35.90485835,35.92334529,35.90806929,35.27629435
42,35.89512218,35.89282204,35.89845436,35.86316267,35.90003481,35.92019567,35.93404179,35.91939361,35.2383822
44,35.88706227,35.88148306,35.88806581,35.85500869,35.89167553,35.91264757,35.9274144,35.91818641,35.23130168
46,35.90473644,35.90171613,35.90970559,35.87302863,35.90935082,35.93034674,35.94396586,35.92953424,35.23633112
48,35.90023609,35.89957569,35.90587971,35.86783865,35.90766923,35.92945307,35.94402424,35.93008091,35.22949153
50,35.90636446,35.90337724,35.90937978,35.87525366,35.91061855,35.93637852,35.94605606,35.93643424,35.22945541
