Day,NOx,PO43,SiO4,N_P,NH4,DON,DOP,DON_DOP,chla,Temperature,Salinity
1,11.59576537,2.18767806,11.04180861,7.94662475,5.788891238,11.08692157,0.524372549,21.14321505,,19.84925618,35.17500188
2,11.78945309,2.03510904,9.366439245,7.989135434,4.469308685,,,,,19.75330104,35.19998884
3,8.325610945,2.14791537,11.49850398,5.503719076,3.495911828,,,,2.855636464,19.10761281,35.21316878
4,3.287462999,2.50704179,13.30036523,4.141503823,7.095460162,12.7585098,0.322078431,39.61305251,3.252451169,19.31044238,35.21143568
6,8.267897732,2.06157799,12.19655949,4.924933563,1.885236909,8.952156863,0.115137255,77.75204353,4.529655698,19.43623066,35.20303526
8,8.487982351,2.43313043,13.80606751,4.189599007,1.705858483,7.335568627,-0.00827451,,1.166821688,18.36898747,35.21027211
10,7.400037863,2.89410523,12.1101379,3.645330842,3.149933177,10.75692157,0.053490196,,1.997716998,18.74711733,35.1598317
12,2.710817529,3.13916886,18.67264576,2.175999878,4.120013528,11.34833333,-0.079509804,,3.302935424,18.41684304,35.21523755
13,9.682074082,2.10663182,9.606411795,5.664825702,2.251627991,9.022862745,0.448117647,20.13503107,6.900683823,19.17033271,35.00798682
14,12.26835288,1.98421656,8.297350464,7.837474939,3.282894652,9.50745098,0.339882353,27.97277027,4.585435699,19.62439786,35.13086612
15,6.942593586,1.96836376,8.344492563,4.86320628,2.629965422,8.779333333,0.318470588,27.56717155,7.16817829,20.69838409,35.15907926
16,3.476159514,1.90355977,9.350657934,2.236389438,0.780941457,12.33186275,0.425117647,29.00811772,4.893756057,19.72930466,35.14917442
17,7.200720973,1.872294,9.117868214,4.617688506,1.444949493,9.996333333,0.348294118,28.70083879,4.504049847,19.38444384,35.19478272
18,3.806271917,1.54363497,10.71867219,2.739790523,0.422964531,12.6175098,0.386176471,32.67291186,4.164831808,19.73087584,35.18003072
20,6.76235629,2.06051198,10.51671632,3.60370543,0.663121913,,,,3.924507426,19.69374931,35.15947018
22,13.07481339,2.14801388,8.531877507,7.669856726,3.400145293,13.59086275,0.385941176,35.21485551,7.21046187,20.23360599,34.84901122
24,7.189531792,1.82440207,6.60892451,5.471435819,2.792567042,,,,6.964120288,19.77895259,35.1241266
26,9.150628651,1.85222241,9.297757405,6.65797757,3.181426589,11.46394118,0.287705882,39.84604381,5.015079793,19.69298872,35.14361641
28,10.00614441,2.40061105,10.4001226,7.101893249,7.042738971,,,,4.387713616,19.85542477,35.17219978
30,16.24249389,1.57435965,8.372516346,11.22050202,1.422611759,6.56272549,0.771088235,8.510991599,10.60057698,20.00680249,34.9946239
32,16.06975606,1.72480534,11.66124277,9.408103685,0.157391416,,,,2.800437748,19.5628971,35.22083208
34,17.68396712,2.04756005,13.12654172,8.963578706,0.66949858,6.361362745,0.160294118,39.68556566,4.845819332,19.84009076,35.23217047
36,13.71274285,2.0246907,16.57191126,6.916780601,0.291598493,,,,5.170229025,19.56388748,35.21254614
38,15.13981766,2.34971549,16.56613761,6.504291532,0.143416911,4.915303922,0.098147059,50.0810108,1.787597013,18.31087924,35.24062709
40,19.16607987,2.08141944,12.26822119,9.572272346,0.757833896,,,,3.192604321,18.20259448,35.27629435
42,18.44020485,1.75950762,11.25230138,10.52518092,0.078931208,6.322117647,0.102333333,61.77965147,4.192966341,18.20947924,35.2383822
44,18.35389759,1.75695995,9.499796434,10.78061694,0.587214648,2.769235294,0.08045098,34.42139914,6.12830359,18.04927229,35.23130168
46,14.06687639,1.95382183,12.50110408,7.202948359,0.006401368,5.078911765,0.216303922,23.48044232,4.851065905,17.87293638,35.23633112
48,9.506578675,1.8604906,10.93949457,5.445390623,0.624519387,5.381490196,0.276470588,19.46496456,7.12767759,18.40445539,35.22949153
50,11.7890871,2.05086471,11.42966337,5.817905705,0.142650368,,,,7.376906372,18.0575131,35.22945541
