"","ASV","KOSMOSD3_MQCBa_TT","KOSMOSD3_ROCBa_TT","field_blank_mean_perc","envt_mean_perc","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","ASV_28077",0,22,0.156028368794326,NA,"no_hit","no_hit","no_hit","no_hit","no_hit","g_","s_"
"2","ASV_28079",0,21,0.148936170212766,NA,"no_hit","no_hit","no_hit","no_hit","no_hit","g_","s_"
"3","ASV_5",5,4,0.0638297872340425,0.000179855285670145,"Eukaryota","Chordata","Actinopteri","Argentiniformes","Bathylagidae","Leuroglossus","Leuroglossus schmidti"
"4","ASV_1",5,3,0.0567375886524823,0.025465663781296,"Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"5","ASV_28392",0,8,0.0567375886524823,NA,"no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"6","ASV_5140",0,6,0.0425531914893617,0.000327428853399495,"Eukaryota","Chordata","Actinopteri","Carangiformes","Carangidae","Seriola","Seriola lalandi"
"7","ASV_28125",0,6,0.0425531914893617,NA,"no_hit","no_hit","no_hit","no_hit","no_hit","g_","s_"
"8","ASV_27938",0,5,0.0354609929078014,0.06940569357271,"Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","g_","s_"
"9","ASV_27940",5,0,0.0354609929078014,2.30583699577109e-05,"Eukaryota","Chordata","Actinopteri","Argentiniformes","Bathylagidae","Leuroglossus","Leuroglossus schmidti"
"10","ASV_28255",5,0,0.0354609929078014,0.000110680175797013,"no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"11","ASV_2236",0,4,0.0283687943262411,NA,"Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","unassigned"
"12","ASV_5247",4,0,0.0283687943262411,0.000170631937687061,"no_hit","no_hit","no_hit","no_hit","no_hit","g_","s_"
"13","ASV_27941",0,4,0.0283687943262411,0.0423536139383235,"Eukaryota","Chordata","Actinopteri","Atheriniformes","Atherinopsidae","Odontesthes","unassigned"
"14","ASV_28600",0,4,0.0283687943262411,NA,"no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"15","ASV_28601",0,4,0.0283687943262411,NA,"no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"16","ASV_246",3,0,0.0212765957446809,0.00014757356772935,"Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","unassigned"
"17","ASV_27609",3,0,0.0212765957446809,NA,"no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"18","ASV_27967",0,3,0.0212765957446809,0.0012128702597756,"no_hit","no_hit","no_hit","no_hit","no_hit","g_","s_"
"19","ASV_27937",0,2,0.0141843971631206,0.126267633888425,"Eukaryota","Chordata","Actinopteri","unknown","Sciaenidae","g_","s_"
"20","ASV_27943",0,2,0.0141843971631206,0.0274671302936253,"Eukaryota","Chordata","Actinopteri","Atheriniformes","Atherinopsidae","Odontesthes","unassigned"
"21","ASV_28199",0,2,0.0141843971631206,NA,"no_hit","no_hit","no_hit","no_hit","no_hit","g_","s_"
"22","ASV_28902",0,2,0.0141843971631206,NA,"no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"23","ASV_151",0,1,0.00709219858156028,NA,"Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Thunnus","unassigned"
"24","ASV_8223",0,1,0.00709219858156028,4.61167399154219e-06,"Eukaryota","Chordata","Actinopteri","Centrarchiformes","Kyphosidae","Medialuna","Medialuna californiensis"
"25","ASV_8912",1,0,0.00709219858156028,NA,"Eukaryota","Chordata","Actinopteri","Perciformes","Stichaeidae","unassigned","unassigned"
"26","ASV_27936",1,0,0.00709219858156028,0.319183180302618,"Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis ringens"
"27","ASV_27946",0,1,0.00709219858156028,0.0195857794420797,"Eukaryota","Chordata","Actinopteri","Lutjaniformes","Haemulidae","g_","s_"
"28","ASV_27959",0,1,0.00709219858156028,6.91751098731329e-05,"Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"29","ASV_27963",0,1,0.00709219858156028,0.00624420658454812,"Eukaryota","Chordata","Actinopteri","unknown","Sciaenidae","g_","s_"
"30","ASV_27973",0,1,0.00709219858156028,NA,"Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Sardinops","Sardinops melanostictus"
"31","ASV_28132",0,1,0.00709219858156028,NA,"Eukaryota","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","unassigned","unassigned"
