"","ASV","KOSMOSD3_MQCBa_X","KOSMOSD3_ROCBa_X","field_blank_mean_perc","envt_mean_perc","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","ASV_23751",5,20174,0.163486700856363,2.42618729518936e-06,"Eukaryota","Arthropoda","Hexanauplia","Cyclopoida","Cyclopidae","Paracyclops","Paracyclops fimbriatus"
"2","ASV_23752",82,17334,0.141101361916567,6.46983278717162e-06,"Eukaryota","unknown","unknown","Himatismenida","Cochliopodiidae","g_","s_"
"3","ASV_23744",13787,101,0.112518127830575,0.111218043069677,"Eukaryota","Arthropoda","Hexanauplia","Calanoida","Paracalanidae","Paracalanus","Paracalanus sp. D AC-2013"
"4","ASV_23780",3,6932,0.0561861475018027,1.6174581967929e-06,"Eukaryota","Rotifera","Monogononta","Ploima","Asplanchnidae","g_","s_"
"5","ASV_23815",3672,1,0.0297579985254681,1.29396655743432e-05,"Eukaryota","unknown","unknown","Longamoebia","Acanthamoebidae","g_","s_"
"6","ASV_23819",0,3287,0.0266306945693476,2.18356856567042e-05,"Eukaryota","Arthropoda","Ostracoda","Podocopida","Cyprididae","Cypridopsis","Cypridopsis vidua"
"7","ASV_46",3195,43,0.0262337052070421,0.000769910101673422,"Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"8","ASV_28438",0,2626,0.0212753890900842,NA,"no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"9","ASV_28439",0,2562,0.0207568723719709,NA,"no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"10","ASV_23779",2387,0,0.01933905322088,0.000713299064785671,"Eukaryota","Cercozoa","unknown","Euglyphida","Paulinellidae","g_","s_"
"11","ASV_10109",1855,0,0.0150288830015637,0.00396358131124101,"Eukaryota","unknown","Labyrinthulomycetes","unknown","Thraustochytriaceae","g_","s_"
"12","ASV_23871",0,1794,0.014534671754612,NA,"Eukaryota","unknown","Oomycetes","Peronosporales","Peronosporaceae","g_","s_"
"13","ASV_23876",0,1738,0.0140809696262629,NA,"Eukaryota","unknown","unknown","unknown","Paramoebidae","g_","s_"
"14","ASV_28440",1572,8,0.0128008814784208,0.000109178428283521,"no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"15","ASV_2975",1432,9,0.0116747279812686,0.041171589670265,"Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Skeletonemataceae","Skeletonema","unassigned"
"16","ASV_10994",0,1347,0.0109131565515398,NA,"Eukaryota","unknown","unknown","unknown","Vexilliferidae","g_","s_"
"17","ASV_23911",1301,0,0.0105404726603959,2.42618729518936e-06,"Eukaryota","unknown","Labyrinthulomycetes","unknown","Thraustochytriaceae","g_","s_"
"18","ASV_23772",1156,72,0.00994903952879793,0.0017783952873738,"Eukaryota","Rhodophyta","Bangiophyceae","Bangiales","Bangiaceae","g_","s_"
"19","ASV_23745",1201,2,0.00974649393578494,0.0911696487204288,"Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Stephanodiscaceae","g_","s_"
"20","ASV_23922",0,1188,0.00962496657997715,NA,"Eukaryota","unknown","unknown","unknown","Vexilliferidae","g_","s_"
"21","ASV_23950",0,1047,0.0084826094353839,NA,"Eukaryota","Rhodophyta","Florideophyceae","Corallinales","Corallinaceae","g_","s_"
"22","ASV_23958",0,997,0.00807751824935793,NA,"Eukaryota","Rotifera","Monogononta","Ploima","Asplanchnidae","g_","s_"
"23","ASV_23961",0,989,0.00801270365959377,1.6174581967929e-06,"Eukaryota","unknown","unknown","unknown","Paramoebidae","g_","s_"
"24","ASV_23823",0,910,0.00737265958567274,0.00173634137425718,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","g_","s_"
"25","ASV_23985",0,890,0.00721062311126235,NA,"Eukaryota","unknown","unknown","Himatismenida","Cochliopodiidae","g_","s_"
"26","ASV_23997",0,809,0.00655437538990027,NA,"Eukaryota","Rhodophyta","Florideophyceae","Gracilariales","Gracilariaceae","g_","s_"
"27","ASV_23814",756,0,0.00612497873271273,0.00221591772960628,"Eukaryota","Arthropoda","Hexanauplia","Calanoida","Paracalanidae","Paracalanus","Paracalanus sp. D AC-2013"
