"","ASV","KOSMOS.D3.control1","KOSMOS.D3.control2","field_blank_mean_perc","envt_mean_perc","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","D_3__Betaproteobacteriales_D_4__Burkholderiaceae$12cf958aac38df753bd74152c9de7b19",74876,12647,0.167117287415843,0.000196427451728114,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Ralstonia",""
"2","D_3__Betaproteobacteriales_D_4__Burkholderiaceae$7a3f6fa65c67106e022004f060c8249a",18739,9,0.0357976178201412,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Aquabacterium",""
"3","D_3__Betaproteobacteriales_D_4__Burkholderiaceae$83b71a0936aaf776a3979b868595a01d",11875,3091,0.028576229373599,1.47160631587838e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Undibacterium",""
"4","D_3__Rhizobiales_D_4__Beijerinckiaceae$6ed2a22340c1dc9ed2ce8e39f1cedbb3",11752,28,0.0224928492597218,0.000282804344181844,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium",""
"5","D_3__Sphingomonadales_D_4__Sphingomonadaceae$9c3e648927a2024eec07e27b3a3e2393",10403,273,0.0203848606703556,0.000150679690169286,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",""
"6","31b26013281eca9110cd4e6ee0b5c473$Unassigned",328,9578,0.0189146150056709,NA,"Unassigned","","","","","",""
"7","D_3__Betaproteobacteriales_D_4__Burkholderiaceae$02ebc9e2294109abe2666165e6007aa4",7576,1494,0.0173183482840133,3.80698155629406e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Ralstonia",""
"8","D_3__Betaproteobacteriales_D_4__Burkholderiaceae$4036d7d073679e836ef1fe245f32446f",7160,20,0.0137095634706963,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Pelomonas",""
"9","D_3__Synechococcales_D_4__Cyanobiaceae$80522704d59cd214493d481cf1236310",6103,442,0.0124970881498199,0.00824675382841582,"Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Synechococcus_CC9902",""
"10","D_3__Caulobacterales_D_4__Parvularculaceae$294623f4e6ee53596c16f77f2b995b2f",0,6545,0.0124970881498199,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Parvularculaceae","Amphiplicatus",""
"11","D_3__Betaproteobacteriales_D_4__Burkholderiaceae$968245fdb3c5ee3a17099269457e5cd4",5131,1412,0.0124932693299117,0.000125726365682653,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Herbaspirillum",""
"12","D_3__Sphingomonadales_D_4__Sphingomonadaceae$83d1083a5a0be30ff0ae1f3d53dfc08a",0,4448,0.00849305547599681,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",""
"13","D_3__Caenarcaniphilales_D_4__uncultured_Firmicutes_bacterium$19228c29cc2c7907a6a6f0203a64adff",0,4002,0.00764145863645216,NA,"Bacteria","Cyanobacteria","Melainabacteria","Caenarcaniphilales","","",""
"14","D_3__Caulobacterales_D_4__Caulobacteraceae$40dd03bfadc6647c1d86abfa7a0494b5",3933,27,0.00756126341837845,0.000563689201864717,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",""
"15","D_3__Betaproteobacteriales_D_4__Burkholderiaceae$f8f94c81254153441c14c41ee29d9e51",3898,0,0.00744288000122202,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Aquabacterium",""
"16","D_3__Sphingomonadales_D_4__Sphingomonadaceae$03f6ee3b2fd107b28848749b78775ae7",0,3732,0.00712591794883545,1.24766622433167e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium",""
"17","D_3__Pseudomonadales_D_4__Pseudomonadaceae$2a6cac468e0b4308baca8d57dea3e402",3570,25,0.00686432878511882,1.69554640742509e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",""
"18","835be750e3f8ba716ac451eac0ce46a3$Unassigned",0,3460,0.00660655844131047,NA,"Unassigned","","","","","",""
