"","ASV","KOSMOS.D3.control1","KOSMOS.D3.control2","field_blank_mean_perc","envt_mean_perc","Kingdom","Supergroup","Phylum","Class","Subclass","Order","Suborder","Family","Genus","Species"
"1","42219cdab667ede06141ed99b77e6e3c",3627,453,0.321868097191543,0.196655678852525,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales",NA,"","",""
"2","e0d3f83ed24e56018290f2b7943acc9b",2985,44,0.238955506468918,0.0355856284354152,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales",NA,"","",""
"3","6db05a10707818fbe75a590499339995",1798,25,0.143815083622594,0.0551734406471919,"Eukaryota","Stramenopiles","Ochrophyta","","","",NA,"","",""
"4","a713278facfda956576d93f0ebab0918",822,66,0.0700536446828653,0.0168953152206731,"Eukaryota","Archaeplastida","Chlorophyta","Trebouxiophyceae","","Chlorellales",NA,"Chlorellaceae","",""
"5","2befbeef9466383c925542f8150749b5",0,846,0.0667402966235405,NA,"Eukaryota","Archaeplastida","Chlorophyta","Chlorophyceae","","",NA,"","",""
"6","393253aa18abfdac36ef0d53c7222c1b",588,7,0.0469390975071,0.0527456438211123,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Coscinodiscophyceae","",NA,"","",""
"7","36a4c622d3787881baa568a1ba6046b9",245,0,0.0193278636793941,0.00594748183288321,"Eukaryota","Stramenopiles","Ochrophyta","Raphidophyceae","","Chattonellales",NA,"Chattonellaceae","",""
"8","2c1145826361b8caaa26aae5369a3bdf",148,0,0.0116756074471442,0.00901634937113031,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyceae","",NA,"","",""
"9","a853f2fca21cb13aacf2cabddf8424dc",143,0,0.0112811612496056,NA,"Eukaryota","Archaeplastida","Chlorophyta","Trebouxiophyceae","","Chlorellales",NA,"Chlorellaceae","",""
"10","ab985cf0ad0420c1a343fbc97ce8f698",136,0,0.0107289365730514,0.00105466472001754,"Eukaryota","Stramenopiles","Ochrophyta","Dictyochophyceae","","",NA,"","",""
"11","d9229fe38c2083c24186be92bbef13ae",117,0,0.00923004102240454,0.103638386487057,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales",NA,"Skeletonemataceae","",""
"12","71ea19803975a0b9664a35da3cba63e5",105,0,0.00828337014831177,NA,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyceae","",NA,"","",""
"13","593ea2891454d8d63d6214f225a45e19",0,86,0.00678447459766488,NA,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyceae","",NA,"","",""
"14","78219dcf33c2afdd99e4a8415a446671",0,64,0.00504891132849479,NA,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyceae","",NA,"","",""
"15","044bad6668bf3ca9bd869761852eb7b6",41,0,0.00323445881981698,0.000756877034365526,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales",NA,"","",""
"16","5b327a7c9d4e86208854efdac5c5e904",0,40,0.00315556958030925,NA,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyceae","",NA,"","",""
"17","1d9216ecc0bd433058261a3b94839d99",33,5,0.00299779110129378,0.000516992509812518,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales",NA,"","",""
"18","4997cfb8098ecb240a80d3fb04b939b4",33,0,0.00260334490375513,NA,"Eukaryota","Hacrobia","Cryptophyta","Cryptophyceae","","Pyrenomonadales",NA,"","",""
"19","920810b5d4941fb06277a031cc009b34",33,0,0.00260334490375513,NA,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales",NA,"","",""
"20","2cf85d07a8ecd3fb2b87a9f36708260b",0,24,0.00189334174818555,0.00130282112472754,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyceae","Cymbellales",NA,"Cymbellaceae","",""
"21","4a3da0cc978406fc647a28f932c13567",0,22,0.00173556326917009,0.0162046132275636,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Coscinodiscophyceae","",NA,"","",""
"22","84db7bef4e63768342c4e6d91424b528",0,19,0.00149889555064689,0.0272310294768449,"Eukaryota","Hacrobia","Cryptophyta","Cryptophyceae","","Pyrenomonadales",NA,"","",""
"23","a39fd18027724ec5bf339e5c3d7d51aa",0,16,0.0012622278321237,NA,"Eukaryota","Archaeplastida","Chlorophyta","Chlorophyceae","","Chlamydomonadales",NA,"","",""
"24","8751e2920100fe9f560be4345ab4c8f8",0,15,0.00118333859261597,0.000206797003925007,"Eukaryota","Archaeplastida","Streptophyta","Embryophyceae","","",NA,"","",""
"25","98a5b6da12dff21114b8c3302d58c9ee",0,12,0.000946670874092774,0.0087557851461848,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Coscinodiscophyceae","",NA,"","",""
"26","5207151388e3c1cb2fe7d75d59f26e79",0,12,0.000946670874092774,0.00318467386044511,"Eukaryota","Hacrobia","Cryptophyta","Cryptophyceae","","Pyrenomonadales",NA,"","",""
"27","d16938cc809b9186b4b6d32892c4eddd",0,11,0.000867781634585043,0.00305232377793311,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales",NA,"","",""
"28","bbcd878da231c347158525b55b4a99d3",0,11,0.000867781634585043,NA,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyceae","",NA,"","",""
"29","e55a78a1c8062a8044c653d07dbd915a",0,10,0.000788892395077311,0.000426001828085515,"Eukaryota","Archaeplastida","Chlorophyta","Prasinophyceae","","Pyramimonadales",NA,"Pyramimonadaceae","",""
"30","4fae655de4bb3164568a8d15753211a1",0,10,0.000788892395077311,NA,"Eukaryota","Archaeplastida","Chlorophyta","Chlorophyceae","","",NA,"","",""
"31","fe54a6b3853a4ba111acf8886bee63ae",0,9,0.00071000315556958,0.000306059565809011,"Eukaryota","Hacrobia","Cryptophyta","Cryptophyceae","","Pyrenomonadales",NA,"","",""
"32","c1e51fa01b04524a3b4562bd41773080",0,7,0.000552224676554118,NA,"Eukaryota","Archaeplastida","Chlorophyta","Trebouxiophyceae","","Prasiolales",NA,"","",""
