#OTUID	KOSMOSD15_M1AS_TT	KOSMOSD15_MPAS_TT	KOSMOSD1_M1BS_TT	KOSMOSD1_MPBS_TT	KOSMOSD24_M1AS_TT	KOSMOSD24_MPAS_TT	KOSMOSD32_M1AS_TT	KOSMOSD32_MPAS_TT	KOSMOSD36_M1AS_TT	KOSMOSD36_MPAS_TT	KOSMOSD42_M1AS_TT	KOSMOSD42_MPAS_TT	KOSMOSD48_M1AS_TT	KOSMOSD48_MPAS_TT	KOSMOSD8_M1AS_TT	KOSMOSD8_MPAS_TT
ASV_1	17	1072	23	13	0	5	0	0	0	12	23	8	4348	1	0	0
ASV_5	0	4	0	3	1	3	1	6	0	3	0	1	3	2	3	9
ASV_10	0	397	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_11	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_15	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV_17	0	0	0	0	0	0	0	0	0	0	0	0	2949	0	0	1
ASV_75	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV_143	0	5	0	0	0	0	0	0	0	0	0	0	37	0	0	0
ASV_222	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ASV_227	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV_246	3	2	3	13	0	0	0	0	0	7	0	1	2	1	0	0
ASV_1923	0	128	0	0	0	0	0	0	4	0	0	0	0	0	1	0
ASV_1924	0	0	1	0	0	0	0	6	0	0	0	1	0	0	0	0
ASV_1925	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ASV_1926	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_1932	0	873	115	0	0	0	0	0	1	0	0	0	0	0	0	0
ASV_1936	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	1
ASV_1942	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
ASV_1946	0	2	0	0	0	0	0	0	0	0	0	0	8	0	0	0
ASV_1948	0	59	0	0	0	0	0	0	0	0	0	0	276	0	0	0
ASV_1951	0	12	0	0	0	0	0	0	0	1	0	0	21	0	0	0
ASV_1952	0	5	0	0	0	0	0	1	0	2	0	0	20	0	0	0
ASV_1955	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ASV_1967	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
ASV_1970	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0
ASV_1973	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	0
ASV_1980	0	2	0	0	0	0	0	0	0	0	0	0	5	0	0	0
ASV_1982	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ASV_1999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ASV_2190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ASV_3385	1	9	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ASV_3391	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_4168	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ASV_5140	12	9	9	9	2	0	0	0	0	12	11	7	0	0	0	0
ASV_5151	0	6	0	0	0	0	0	1	0	0	0	0	13	0	0	0
ASV_5154	0	5	0	0	0	0	0	0	0	0	0	0	18	0	0	0
ASV_5157	0	4	0	0	0	0	0	0	0	0	0	0	19	0	0	0
ASV_5162	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ASV_5177	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ASV_5217	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
ASV_5243	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_8223	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ASV_14239	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_14795	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ASV_26758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ASV_26772	0	5	0	0	0	0	0	0	0	0	1	0	2	0	0	0
ASV_27936	0	12398	4784	8698	38	0	2592	3389	3643	11636	2168	9778	999	6800	0	2289
ASV_27937	0	102	0	0	14141	0	3534	0	5477	0	729	1	3396	0	0	0
ASV_27938	0	0	7	1657	0	648	0	0	6721	6	0	0	0	2786	0	3225
ASV_27939	0	0	0	0	0	0	7329	0	7008	0	0	0	0	0	0	0
ASV_27940	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3
ASV_27941	0	7	0	2338	1	1	0	1575	0	2636	0	4	0	0	1	2621
ASV_27943	0	1014	182	2	0	59	0	1	0	1185	0	762	0	0	1	2750
ASV_27944	0	2	0	0	0	0	0	0	0	0	0	0	10	0	0	0
ASV_27946	0	0	0	0	2	0	0	0	0	1290	0	2548	1	161	0	245
ASV_27947	1	398	2352	190	0	0	0	0	0	0	0	4	0	209	0	453
ASV_27948	0	0	2	0	0	232	2	0	0	95	2464	1	786	0	0	0
ASV_27950	0	726	428	1	0	0	0	0	0	0	0	0	0	2352	0	0
ASV_27951	0	624	174	424	1	0	86	142	130	509	106	399	29	384	0	131
ASV_27952	0	75	0	0	0	1511	3	596	0	507	0	0	0	0	0	501
ASV_27953	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ASV_27955	1	187	0	0	0	0	0	0	1570	0	0	0	0	377	0	0
ASV_27956	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ASV_27958	0	0	0	0	0	0	0	0	0	0	0	2	1852	0	0	0
ASV_27959	0	2	0	0	0	0	0	0	0	0	0	0	13	0	0	0
ASV_27960	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV_27961	0	0	0	0	0	0	0	0	0	0	0	1	1651	0	0	0
ASV_27962	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_27963	0	0	0	0	1205	0	0	0	0	0	0	0	0	149	0	0
ASV_27965	0	3	0	0	623	0	132	0	248	0	25	0	170	0	0	0
ASV_27966	0	4	4	3	0	0	0	0	1	4	1	818	0	3	0	70
ASV_27969	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_27972	0	18	1	14	3	0	3	653	8	10	3	3	0	5	0	1
ASV_27976	0	9	4	12	0	0	1	2	0	57	0	545	0	10	0	2
ASV_27978	0	0	0	9	0	4	0	0	23	0	0	0	0	545	0	8
ASV_27979	0	0	0	0	0	0	0	0	0	0	0	372	0	200	0	0
ASV_27981	0	235	30	44	0	0	13	24	25	66	16	48	4	36	0	17
ASV_27985	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ASV_27986	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_27987	0	0	0	0	0	0	522	0	0	0	1	0	0	0	0	0
ASV_27989	0	0	0	0	0	0	0	0	0	0	513	0	1	0	0	0
ASV_27993	0	395	0	0	0	0	0	0	0	2	0	0	0	0	1	82
ASV_27996	0	0	0	6	0	385	0	0	15	0	0	0	0	3	0	14
ASV_27997	0	0	0	403	0	0	0	0	0	1	0	0	0	0	0	0
ASV_28001	0	358	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_28003	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ASV_28004	0	0	0	0	0	0	0	0	0	0	0	310	1	0	0	0
ASV_28005	0	293	0	0	0	0	0	1	2	3	0	2	0	3	0	0
ASV_28007	0	43	29	0	0	0	0	0	0	0	0	0	0	221	0	0
ASV_28008	0	267	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_28010	0	26	144	13	0	0	0	0	0	0	0	0	0	13	0	30
ASV_28012	0	21	0	0	0	0	0	0	0	231	0	0	0	0	0	1
ASV_28015	0	5	11	208	0	0	0	0	0	0	0	1	0	0	0	5
ASV_28016	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ASV_28018	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0
ASV_28022	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0
ASV_28024	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	1
ASV_28025	0	1	4	1	0	0	0	0	0	0	0	160	0	0	0	1
ASV_28027	0	0	0	0	0	0	0	0	0	0	0	0	161	0	0	0
ASV_28028	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0
ASV_28029	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0
ASV_28032	0	127	9	0	0	0	0	0	0	0	0	0	0	0	0	4
ASV_28033	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV_28050	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0
ASV_28052	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0
ASV_28060	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0
ASV_28084	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_28097	0	0	0	0	0	0	0	0	0	0	6	0	6	0	0	0
ASV_28116	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	4
ASV_28206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
