#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_5	Eukaryota	Chordata	Actinopteri	Argentiniformes	Bathylagidae	Leuroglossus	Leuroglossus schmidti
ASV_10	Eukaryota	Chordata	Actinopteri	Tetraodontiformes	Molidae	Mola	unassigned
ASV_11	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Stenobrachius	Stenobrachius leucopsarus
ASV_15	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_17	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Paralichthyidae	Citharichthys	Citharichthys sordidus
ASV_75	Eukaryota	Chordata	Actinopteri	Scombriformes	Centrolophidae	Icichthys	Icichthys lockingtoni
ASV_143	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_222	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Symbolophorus	Symbolophorus californiensis
ASV_227	Eukaryota	Chordata	Mammalia	Artiodactyla	Balaenopteridae	Megaptera	Megaptera novaeangliae
ASV_246	Eukaryota	Chordata	Actinopteri	Perciformes	Sebastidae	Sebastes	unassigned
ASV_1923	Eukaryota	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius	Merluccius productus
ASV_1924	Eukaryota	Chordata	Actinopteri	Carangiformes	Carangidae	Trachurus	Trachurus symmetricus
ASV_1925	Eukaryota	Chordata	Actinopteri	Perciformes	Sebastidae	Sebastes	unassigned
ASV_1926	Eukaryota	Chordata	Actinopteri	unknown	Sciaenidae	Genyonemus	Genyonemus lineatus
ASV_1932	Eukaryota	Chordata	Actinopteri	Scombriformes	Scombridae	Scomber	unassigned
ASV_1936	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_1942	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_1946	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_1948	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_1951	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_1952	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_1955	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_1967	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_1970	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_1973	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae	unassigned	unassigned
ASV_1980	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_1982	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_1999	Eukaryota	Chordata	Mammalia	Cetacea	Delphinidae	unassigned	unassigned
ASV_2190	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus tshawytscha
ASV_3385	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_3391	Eukaryota	Chordata	Actinopteri	unknown	Embiotocidae	Rhacochilus	Rhacochilus vacca
ASV_4168	Eukaryota	Chordata	Actinopteri	Argentiniformes	Bathylagidae	Leuroglossus	Leuroglossus schmidti
ASV_5140	Eukaryota	Chordata	Actinopteri	Carangiformes	Carangidae	Seriola	Seriola lalandi
ASV_5151	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_5154	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_5157	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_5162	Eukaryota	Chordata	Actinopteri	Argentiniformes	Bathylagidae	Leuroglossus	Leuroglossus schmidti
ASV_5177	Eukaryota	Chordata	Actinopteri	Perciformes	Sebastidae	Sebastes	unassigned
ASV_5217	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Symbolophorus	Symbolophorus californiensis
ASV_5243	Eukaryota	Chordata	Mammalia	Artiodactyla	Delphinidae	unassigned	unassigned
ASV_8223	Eukaryota	Chordata	Actinopteri	Centrarchiformes	Kyphosidae	Medialuna	Medialuna californiensis
ASV_14239	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea harengus
ASV_14795	Eukaryota	Chordata	Actinopteri	Blenniiformes	Labrisomidae	g_	s_
ASV_26758	Eukaryota	Chordata	Actinopteri	Argentiniformes	Bathylagidae	Leuroglossus	Leuroglossus schmidti
ASV_26772	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_27936	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis ringens
ASV_27937	Eukaryota	Chordata	Actinopteri	unknown	Sciaenidae	g_	s_
ASV_27938	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	g_	s_
ASV_27939	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Paralichthyidae	Paralichthys	Paralichthys albigutta
ASV_27940	Eukaryota	Chordata	Actinopteri	Argentiniformes	Bathylagidae	Leuroglossus	Leuroglossus schmidti
ASV_27941	Eukaryota	Chordata	Actinopteri	Atheriniformes	Atherinopsidae	Odontesthes	unassigned
ASV_27943	Eukaryota	Chordata	Actinopteri	Atheriniformes	Atherinopsidae	Odontesthes	unassigned
