#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_5	Eukaryota	Chordata	Actinopteri	Argentiniformes	Bathylagidae	Leuroglossus	Leuroglossus schmidti
ASV_10	Eukaryota	Chordata	Actinopteri	Tetraodontiformes	Molidae	Mola	unassigned
ASV_11	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Stenobrachius	Stenobrachius leucopsarus
ASV_15	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_17	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Paralichthyidae	Citharichthys	Citharichthys sordidus
ASV_75	Eukaryota	Chordata	Actinopteri	Scombriformes	Centrolophidae	Icichthys	Icichthys lockingtoni
ASV_143	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_222	Eukaryota	Chordata	Actinopteri	Myctophiformes	Myctophidae	Symbolophorus	Symbolophorus californiensis
ASV_227	Eukaryota	Chordata	Mammalia	Artiodactyla	Balaenopteridae	Megaptera	Megaptera novaeangliae
ASV_243	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_246	Eukaryota	Chordata	Actinopteri	Perciformes	Sebastidae	Sebastes	unassigned
ASV_254	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_270	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_299	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_360	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_374	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_394	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_413	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_439	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_584	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_588	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_593	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_599	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_600	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_609	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_616	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_623	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_632	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_659	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_682	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_717	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_783	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_822	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_889	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_957	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1345	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1545	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_1923	Eukaryota	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius	Merluccius productus
ASV_1924	Eukaryota	Chordata	Actinopteri	Carangiformes	Carangidae	Trachurus	Trachurus symmetricus
ASV_1925	Eukaryota	Chordata	Actinopteri	Perciformes	Sebastidae	Sebastes	unassigned
ASV_1926	Eukaryota	Chordata	Actinopteri	unknown	Sciaenidae	Genyonemus	Genyonemus lineatus
ASV_1932	Eukaryota	Chordata	Actinopteri	Scombriformes	Scombridae	Scomber	unassigned
ASV_1936	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_1942	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_1946	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_1948	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_1951	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_1952	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_1955	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_1967	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_1970	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_1973	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae	unassigned	unassigned
ASV_1980	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_1982	Eukaryota	Chordata	Actinopteri	Clupeiformes	Engraulidae	Engraulis	Engraulis mordax
ASV_1999	Eukaryota	Chordata	Mammalia	Cetacea	Delphinidae	unassigned	unassigned
ASV_2015	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_2190	Eukaryota	Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus	Oncorhynchus tshawytscha
ASV_2285	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_2488	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_2489	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_2491	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_2507	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
