#OTUID	KOSMOS.D1.M1BS	KOSMOS.D1.MPBS	KOSMOS.D15.M1AS	KOSMOS.D15.MPAS	KOSMOS.D24.M1A	KOSMOS.D24.MPAS	KOSMOS.D32.M1AS	KOSMOS.D32.MPAS	KOSMOS.D36.M1AS	KOSMOS.D36.MPAS	KOSMOS.D42.M1AS	KOSMOS.D42.MPAS	KOSMOS.D48.M1AS	KOSMOS.D48.MPAS	KOSMOS.D8.M1AS	KOSMOS.D8.MPAS
D_3__SAR11_clade_D_4__Clade_I$d47fbc8bf4a19f82431bc9f1d1886734	20971	12595	8440	15859	18851	13785	8267	12624	4539	6852	1103	6311	1953	11220	3175	20247
D_3__Rhodobacterales_D_4__Rhodobacteraceae$edbdf2f0994a078171a44765047f8302	11101	9033	15360	12254	6742	15382	2294	4801	699	14789	1547	19026	7297	13455	15963	11697
D_3__Saccharimonadales_D_4__uncultured_bacterium$29ed83fb2adbe78d42322e5c5e6fdf52	0	0	4	0	3476	16	18426	28000	28897	10937	5805	39903	10987	21099	0	0
D_3__Thiomicrospirales_D_4__Thioglobaceae$ccb2f3e0b732851713eb44527cc8550d	774	710	1809	2366	317	727	2033	3785	1626	2403	434	3525	89	7356	41	7500
D_3__Rhodobacterales_D_4__Rhodobacteraceae$042b7404bc696020138b8631c25ba1bd	2098	1974	8983	2336	4373	2212	3159	732	15190	1050	30404	1498	8769	739	7444	2115
D_3__Betaproteobacteriales_D_4__Burkholderiaceae$12cf958aac38df753bd74152c9de7b19	0	0	0	0	0	0	21	0	11	0	14	0	0	0	85	483
D_3__Rhodobacterales_D_4__Rhodobacteraceae$bd60cd0979eb7e764bf07740b4b3dec6	1839	979	7820	4099	12135	3183	3257	9594	1125	5519	3295	7644	5023	6088	4193	1313
D_3__Flavobacteriales_D_4__Cryomorphaceae$3627f9c0ad5d9121ddcac3b6e59c19a7	2205	1783	1986	2843	2815	3747	3757	3168	8083	5303	9661	5676	3579	3457	16779	1987
D_3__Flavobacteriales_D_4__Flavobacteriaceae$fe704b4923bc1a844464f5d5256e4974	2674	1708	7309	4012	2094	3556	1168	4130	10536	3939	6746	6979	224	4433	4541	2722
D_3__Rhodobacterales_D_4__Rhodobacteraceae$7853bf02be29f05da1c041609250bb75	731	990	835	419	1645	225	14146	287	11451	198	15682	693	16374	591	1072	483
D_3__Bacteroidetes_VC2.1_Bac22$1d2532d203d263d464395190d1c88137	414	724	1422	1058	261	285	589	2951	303	1266	87	1510	46	3324	109	4898
D_3__Rhodobacterales_D_4__Rhodobacteraceae$789b7154821a227e5aa1c6f861d1e93a	3393	2527	9815	4149	6063	4028	789	3018	175	3182	378	6085	1457	3584	3332	3295
D_3__Rhodobacterales_D_4__Rhodobacteraceae$8eda335e06b3452490fc1a45f9a23a80	1749	1502	13658	2611	2457	1902	626	1031	154	2131	1325	3405	8915	1716	8475	2780
D_3__Flavobacteriales_D_4__Flavobacteriaceae$bf46d2eaf500602bdac8966def60bd6d	1086	631	2049	2859	6418	1743	5617	1999	3586	1285	4619	3223	3190	2509	2586	1250
D_3__Synechococcales_D_4__Cyanobiaceae$80522704d59cd214493d481cf1236310	4081	3975	864	2590	386	1139	446	678	112	824	121	830	593	1113	425	7601
D_3__Rhodobacterales_D_4__Rhodobacteraceae$c158ba4c5b436e69fca03740b57d1cbd	1698	1560	4336	2091	7782	2253	1572	1551	334	1863	427	2569	1612	1353	1555	1984
D_3__Rhodobacterales_D_4__Rhodobacteraceae$1b41f940d011e3ffef71dfcb21e2d6cb	363	171	1407	247	62	390	666	307	270	81	300	153	108	300	1854	182
D_3__Rhodobacterales_D_4__Rhodobacteraceae$3541684279c20a868bfbc828478563c5	579	725	1180	1356	636	497	4796	490	2347	329	1620	512	646	1044	427	2375
D_3__Thiomicrospirales_D_4__Thioglobaceae$f13ed73d0eba7844ce2afa2d8a1c5f16	1003	837	1206	2663	3406	1969	234	4348	245	1296	83	4549	37	5243	246	1950
D_3__Oceanospirillales_D_4__Nitrincolaceae$885e5f9ae373e946160d92466ca24188	156	130	1167	346	208	105	429	773	205	317	93	551	0	2482	133	2008
D_3__Flavobacteriales_D_4__Flavobacteriaceae$7fff6b3a67d20e501ccff8ba9a269946	478	346	752	1322	2145	439	1481	420	3459	258	7167	1300	3589	2265	1213	679
