#OTUID	KOSMOSD15_M1AS_X	KOSMOSD15_MPAS_X	KOSMOSD1_M1BS_X	KOSMOSD1_MPBS_X	KOSMOSD24_M1AS_X	KOSMOSD24_MPAS_X	KOSMOSD32_M1AS_X	KOSMOSD32_MPAS_X	KOSMOSD36_M1AS_X	KOSMOSD36_MPAS_X	KOSMOSD42_M1AS_X	KOSMOSD42_MPAS_X	KOSMOSD48_M1AS_X	KOSMOSD48_MPAS_X	KOSMOSD8_M1AS_X	KOSMOSD8_MPAS_X
ASV_1	0	67	32	16	0	1	0	235	0	555	60	686	0	2203	0	3
ASV_6	0	8	13	9	0	0	0	17	0	58	5	101	0	177	0	2
ASV_10	214	2607	7516	7634	0	69	0	1855	413	3995	588	6550	15	6004	339	1168
ASV_18	0	71	842	525	0	165	0	0	0	0	0	0	0	8	0	104
ASV_28	6	109	13	2	24	13	0	34	3	55	0	18	0	21	0	19
ASV_35	140	787	199	427	0	67	9	28	112	179	226	7067	152	1212	9858	193
ASV_46	4	3	0	0	328	0	32	3	61	1	360	13	115	0	29	3
ASV_48	242	1981	4740	4135	0	90	1	1292	76	3479	341	5699	295	9683	325	763
ASV_60	59	286	461	313	170	50	6	10	59	49	6	19	6	44	7	189
ASV_105	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ASV_126	0	0	0	0	0	0	0	0	6	0	0	105	0	0	0	0
ASV_148	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
ASV_154	0	5	2	0	0	0	0	3	0	7	0	12	6	11	0	8
ASV_160	43	238	92	23	0	149	0	61	1	27	0	58	0	9	0	319
ASV_165	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0
ASV_166	0	0	62	92	0	0	0	8	0	0	0	0	0	0	0	0
ASV_189	0	0	0	0	1	0	0	0	0	0	9	0	0	0	4	0
ASV_205	214	0	5	10	9	0	0	0	0	1	0	0	0	0	0	0
ASV_227	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ASV_242	24	70	40	35	0	6	0	15	0	15	3	36	24	10	0	239
ASV_253	9	0	0	0	3	0	26	0	66	0	36	0	25	0	1	1
ASV_263	0	19	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_283	0	0	5	0	0	0	0	0	0	0	0	1	0	7	0	0
ASV_290	111	267	107	59	30	85	13	39	5	70	6	123	30	101	0	491
ASV_294	51	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_300	0	5	0	0	0	0	0	1	0	0	0	4	0	3	0	1
ASV_356	0	27	79	46	0	30	0	13	0	6	0	2	0	2	0	104
ASV_372	0	10	6	10	0	0	0	0	0	3	2	0	1	1	1	1
ASV_383	0	0	0	0	0	0	0	0	0	0	1	7	3	0	0	0
ASV_398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ASV_429	0	0	65	153	0	4	0	0	0	0	0	0	0	0	0	2
ASV_472	78	64	0	18	74	3517	31	15	3149	1	1732	8	2	24	1040	0
ASV_492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ASV_610	148	96	0	11	0	163	1	2	206	0	0	2	0	0	0	1261
ASV_694	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_746	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
ASV_781	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0
ASV_803	4	850	89	146	0	162	0	1	0	6	18	125	0	138	1499	252
ASV_821	0	0	0	0	9	0	0	0	0	0	0	0	0	0	2	0
ASV_822	5	3	0	0	0	0	21	0	9	0	0	0	32	0	1	0
ASV_826	0	89	12	33	0	2	0	0	0	0	1	2	0	0	84	137
ASV_892	532	9	12	3	4	19	1	3	0	3	6	6	26	8	0	61
ASV_911	7	80	21	21	10	16	0	2	6	11	0	3	2	34	0	19
ASV_913	0	0	0	0	0	6	0	16	0	2	0	8	0	17	0	0
ASV_934	0	76	2	0	0	2	0	2	0	0	0	7	2	6	0	1
ASV_941	1	48	10	4	0	21	0	13	0	8	0	33	0	45	0	30
ASV_1036	385	4	0	0	86	0	2062	6	658	1	28	2	76	0	120	0
ASV_1054	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1
ASV_1113	0	0	10	3	0	4	0	0	0	1	0	2	0	0	0	0
ASV_1130	0	49	47	104	0	50	0	218	0	13	1	144	0	85	5	10
ASV_1132	186	109	47	69	78	34	50	346	36	121	12	164	11	716	20	122
ASV_1155	0	0	7	17	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1175	4	0	0	0	0	16	0	3	0	0	0	2	0	0	0	0
ASV_1349	0	0	12	8	0	2	0	25	0	0	0	8	0	13	0	0
ASV_1383	27	273	279	495	0	11	0	23	0	0	1	0	0	3	0	159
ASV_1401	0	6	0	0	0	0	0	0	0	0	0	0	0	12	0	0
ASV_1408	11	0	0	0	0	0	12	0	9	2	0	0	0	2	0	12
ASV_1421	1	0	26	3	2	0	0	0	0	0	0	0	0	0	0	0
ASV_1443	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
ASV_1557	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1591	77	32	18	16	3	11	169	13	421	10	189	13	364	34	14	78
ASV_1629	0	0	61	36	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1706	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV_1718	0	0	0	0	3	0	4	1	7	0	0	0	6	0	0	0
ASV_1722	0	3	0	0	0	0	0	10	0	0	2	1	23	5	0	0
ASV_1742	0	0	0	1	0	0	0	3	0	0	0	2	0	15	0	0
ASV_1805	0	0	3	14	1	0	55	79	35	0	0	6	0	11	0	6
ASV_2029	0	24	11	5	0	0	0	21	1	2	0	8	0	14	0	19
ASV_2105	45	0	0	0	465	0	662	5	3190	0	1	0	0	0	0	0
