#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	Eukaryota	unknown	Haptophyta	Isochrysidales	Noelaerhabdaceae	Emiliania	Emiliania huxleyi
ASV_6	Eukaryota	unknown	Haptophyta	Isochrysidales	Noelaerhabdaceae	Emiliania	Emiliania huxleyi
ASV_10	Eukaryota	unknown	Haptophyta	Isochrysidales	Noelaerhabdaceae	Emiliania	Emiliania huxleyi
ASV_18	Eukaryota	unknown	Oomycetes	Saprolegniales	Saprolegniaceae	g_	s_
ASV_28	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_35	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_46	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
ASV_48	Eukaryota	unknown	Haptophyta	Isochrysidales	Noelaerhabdaceae	Emiliania	Emiliania huxleyi
ASV_60	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_105	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_126	Eukaryota	Arthropoda	Insecta	Hymenoptera	Encyrtidae	g_	s_
ASV_148	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_154	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_160	Eukaryota	unknown	Chrysophyceae	Chromulinales	Chromulinaceae	g_	s_
ASV_165	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_166	Eukaryota	unknown	Oomycetes	Peronosporales	Peronosporaceae	g_	s_
ASV_189	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Paracalanidae	Paracalanus	Paracalanus sp. C AC-2013
ASV_205	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_227	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Clausocalanus	Clausocalanus parapergens
ASV_242	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_253	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_263	Eukaryota	unknown	Phaeophyceae	Sphacelariales	Sphacelariaceae	g_	s_
ASV_283	Eukaryota	unknown	Oomycetes	unknown	unknown	g_	s_
ASV_290	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_294	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_300	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	g_	s_
ASV_356	Eukaryota	unknown	Chrysophyceae	Chromulinales	Chromulinaceae	g_	s_
ASV_372	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos
ASV_383	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	g_	s_
ASV_398	Eukaryota	unknown	Oomycetes	unknown	unknown	g_	s_
ASV_429	Eukaryota	unknown	Oomycetes	unassigned	unassigned	g_	s_
ASV_472	Eukaryota	unknown	unknown	Bicosoecida	Cafeteriaceae	Cafeteria	s_
ASV_492	Eukaryota	unknown	Chrysophyceae	Chromulinales	Chromulinaceae	g_	s_
ASV_610	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_694	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_746	Eukaryota	unknown	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_781	Eukaryota	Arthropoda	Insecta	Hemiptera	unknown	g_	s_
ASV_803	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_821	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
ASV_822	Eukaryota	Rhodophyta	Bangiophyceae	Bangiales	Bangiaceae	g_	s_
ASV_826	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_892	Eukaryota	unknown	Oomycetes	unassigned	unassigned	g_	s_
ASV_911	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_913	Eukaryota	unknown	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_934	Eukaryota	unknown	Oomycetes	Peronosporales	Peronosporaceae	g_	s_
ASV_941	Eukaryota	unknown	Chrysophyceae	Chromulinales	Chromulinaceae	g_	s_
ASV_1036	Eukaryota	Rhodophyta	Bangiophyceae	Bangiales	Bangiaceae	g_	s_
ASV_1054	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Paracalanidae	Paracalanus	Paracalanus sp. C AC-2013
ASV_1113	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_1130	Eukaryota	Picozoa	unknown	unknown	unknown	g_	s_
ASV_1132	Eukaryota	unknown	Phaeophyceae	Fucales	Hormosiraceae	g_	s_
ASV_1155	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_1175	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Coscinodiscales	Coscinodiscaceae	g_	s_
ASV_1349	Eukaryota	unknown	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_1383	Eukaryota	unknown	Phaeophyceae	Ectocarpales	Scytosiphonaceae	g_	s_
ASV_1401	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_1408	Eukaryota	Rhodophyta	Bangiophyceae	Bangiales	Bangiaceae	g_	s_
ASV_1421	Eukaryota	unknown	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_1443	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
ASV_1557	Eukaryota	unknown	Oomycetes	Pythiales	Pythiaceae	g_	s_
ASV_1591	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_1629	Eukaryota	unknown	Oomycetes	Leptomitales	unknown	g_	s_
ASV_1706	Eukaryota	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloropicon	Chloropicon roscoffensis
ASV_1718	Eukaryota	unknown	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_1722	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	g_	s_
ASV_1742	Eukaryota	unknown	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_1805	Eukaryota	unknown	Oomycetes	Saprolegniales	Saprolegniaceae	g_	s_
